DRtg,DRB%,MP,ORB%,G,eFG%,ORtg,USG%
120,6.0,20:00,0.0,44,.000,58,4.8
114,47.1,6:00,0.0,28,.000,25,15.9
107,10.8,12:00,0.0,20,.000,0,4.4
110,11.2,22:00,6.1,24,.667,116,9.6
97,9.9,23:00,15.7,38,.500,120,16.9
115,15.0,16:00,5.8,16,.250,71,19.2
93,6.7,17:00,6.0,30,.500,102,15.0
92,20.4,21:00,20.2,23,.750,132,11.6
112,12.4,9:00,14.0,19,1.000,206,5.1
111,0.0,10:00,12.6,45,.750,156,19.1
101,7.8,15:00,14.2,8,.250,69,15.3
112,16.8,22:00,21.3,11,.500,131,12.6
114,25.5,30:00,8.9,31,.600,99,10.6
91,35.6,11:00,0.0,18, ,250,2.3
94,22.1,29:00,5.0,43,.500,125,3.5
101,16.6,32:00,10.8,39,.250,95,7.9
99,20.9,20:00,5.7,37,1.000,210,7.9
103,4.7,30:00,13.3,5,.462,93,25.8
95,20.9,16:00,26.7,7,.600,125,16.7
99,0.0,9:00,10.9,22, ,225,0.0
102,14.0,25:00,15.6,4,.500,122,21.6
97,31.7,18:00,13.0,2,.500,79,14.1
105,22.2,24:00,4.3,48,.400,68,13.9
116,22.3,10:00,29.1,35, ,86,5.1
112,0.0,8:00,0.0,13, , ,0.0
91,26.0,22:00,28.7,41,.375,127,21.0
121,6.9,24:00,9.3,25,.000,29,10.2
105,11.0,23:00,17.4,15,.400,111,15.2
