Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 25,at Catholic,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Feb 28,at Stevenson,"L, 8-0",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at St. Mary's (Md.),"W, 6-1",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at St. Mary's (Md.),"W, 11-6",-,-,-,-,-,-,-,-,-,-,-
Mar 7,at Gallaudet,"W, 10-3",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Penn St.-York,"W, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Penn St.-York,"W, 14-2",0,0,0,-,-,-,0,-,-,-,-
Mar 16,vs. Daniel Webster,"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 16,vs. Daniel Webster,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Endicott,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Ramapo,"L, 8-0",0,0,0,-,-,-,0,-,-,-,-
Mar 20,vs. Mass.-Boston,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Worcester State,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Worcester State,"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Rutgers-Camden,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Messiah,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 28,Penn St.-Harrisburg,"L, 8-1",0,0,0,-,-,-,0,-,-,-,-
Mar 30,Franklin & Marshall,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Franklin & Marshall,"W, 10-4",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Washington (Md.),"W, 9-0",-,-,-,-,-,-,-,-,-,-,-
Apr 4,at Penn. St.-Mont Alto,"W, 23-2",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Washington (Md.),"L, 7-4",0,0,0,-,-,-,0,-,-,-,-
Apr 6,at Muhlenberg,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Muhlenberg,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Johns Hopkins,"L, 11-2",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Haverford,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Haverford,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 14,at Johns Hopkins,"L, 10-1",-,-,-,-,-,-,-,-,-,-,-
Apr 16,Dickinson,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Apr 20,Swarthmore,"L, 14-9",-,-,-,-,-,-,-,-,-,-,-
Apr 20,Swarthmore,"W, 12-4",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Dickinson,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 23,at Gettysburg,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Apr 26,Gettysburg,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Ursinus,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Ursinus,"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
May 15,Penn St.-Abington,"W, 14-9",-,-,-,-,-,-,-,-,-,-,-
May 18,Waynesburg,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
