Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Boston,0.281,162,5626,910,1579,339,21,199,863,653,1044,45,12,14,63,135,0.357,0.454,0.811
NY Yankees,0.276,162,5624,886,1552,259,16,229,847,637,989,84,27,28,43,125,0.355,0.45,0.805
Tampa Bay,0.274,162,5552,750,1519,289,40,157,717,412,990,151,49,34,51,133,0.329,0.425,0.754
Detroit,0.272,162,5602,723,1521,283,45,168,678,384,1038,66,28,44,52,137,0.321,0.428,0.75
Cleveland,0.271,162,5609,790,1522,337,30,207,760,503,1093,62,36,39,50,128,0.334,0.453,0.787
LA Angels,0.27,162,5624,761,1520,278,30,147,726,447,848,161,57,43,39,125,0.325,0.409,0.734
Baltimore,0.269,162,5551,729,1492,296,27,189,700,447,902,83,37,40,42,145,0.327,0.434,0.761
Texas,0.267,162,5716,865,1528,311,29,260,834,495,1112,67,15,9,32,123,0.329,0.468,0.798
Toronto,0.265,162,5581,775,1480,307,39,136,735,486,955,72,35,21,56,126,0.331,0.407,0.738
Kansas City,0.263,162,5503,701,1445,289,34,126,653,424,1008,53,33,46,50,139,0.32,0.396,0.716
Oakland,0.262,162,5627,772,1476,310,20,155,739,537,819,31,22,19,40,148,0.33,0.407,0.737
Chi White Sox,0.262,162,5529,741,1450,253,23,200,713,435,1002,137,67,53,49,122,0.322,0.425,0.747
Minnesota,0.259,162,5564,688,1441,269,32,134,644,485,978,102,44,42,42,155,0.323,0.391,0.714
Seattle,0.256,162,5507,699,1408,289,34,130,657,466,986,102,47,37,37,115,0.317,0.391,0.709
