Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M050B,57.5,0.0,0.0,1968.0,L,1.0,M3,08/01/2010,4.0,USAM0156
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,57.0,0.0,0.0,1968.0,L,2.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M057L,57.0,0.0,0.0,1968.0,L,1.0,M3,07/11/2010,6.0,USAM0188
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,44.5,0.0,0.0,1968.0,L,1.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M050B,0.0,2750.0,0.0,1968.0,L,1.0,M3,08/01/2010,2.0,USAM0156
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M057L,0.0,2470.0,0.0,1968.0,L,1.0,M3,07/11/2010,3.0,USAM0188
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M999A,0.0,1910.0,0.0,1968.0,L,1.0,M3,08/14/2010,13.0,USAM0156
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,0.0,1870.0,0.0,1968.0,L,2.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,0.0,1470.0,0.0,1968.0,L,1.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M057L,0.0,1150.0,0.0,1968.0,L,2.0,M3,07/11/2010,3.0,USAM0188
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,0.0,0.0,40.9,1968.0,L,2.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M999A,0.0,0.0,39.9,1968.0,L,1.0,M3,08/14/2010,13.0,USAM0156
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M057L,0.0,0.0,37.8,1968.0,L,2.0,M3,07/11/2010,2.0,USAM0188
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M057L,0.0,0.0,36.9,1968.0,L,1.0,M3,07/11/2010,2.0,USAM0188
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,11S047R,0.0,0.0,36.6,1968.0,L,1.0,M3,10/03/2010,1.0,USAS0355
 , , , , , , , , , , , , , 
COLLINS Bart,USA,M,10M050B,0.0,0.0,34.7,1968.0,L,1.0,M3,08/01/2010,10.0,USAM0156
