Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Blake Swihart,Sal,103,376,45,112,29,7,2,42,7,7,41,63,0.298,0.366,0.428,0.794
Henry Ramos,Sal,129,469,69,118,27,7,12,55,11,12,55,100,0.252,0.33,0.416,0.745
Keury De La Cruz,Sal,133,535,65,138,36,6,9,89,16,9,31,130,0.258,0.297,0.398,0.696
Garin Cecchini,Sal,63,214,44,75,19,4,5,33,15,7,43,34,0.35,0.469,0.547,1.016
Mookie Betts,Sal,51,185,30,63,12,3,7,39,20,2,23,17,0.341,0.414,0.551,0.966
Matty Johnson,Sal,56,202,20,51,9,3,0,22,11,6,16,31,0.252,0.308,0.327,0.634
David Renfroe,Sal,62,216,25,48,11,2,3,31,2,2,20,50,0.222,0.292,0.333,0.626
Cody Koback,Sal,54,186,17,40,5,2,0,10,6,0,14,29,0.215,0.288,0.263,0.552
Sean Coyle,Sal,48,195,41,47,9,1,14,28,11,0,24,65,0.241,0.321,0.513,0.834
Nick Natoli,Sal,97,319,43,59,16,1,1,28,11,2,51,84,0.185,0.307,0.251,0.558
Stefan Welch,Sal,75,267,48,78,19,0,10,46,3,2,45,65,0.292,0.409,0.476,0.885
Brandon Jacobs,Sal,81,291,44,71,24,0,11,44,10,4,33,88,0.244,0.334,0.44,0.774
Matthew Gedman,Sal,65,229,30,64,12,0,7,31,6,0,19,33,0.279,0.336,0.424,0.76
Deven Marrero,Sal,85,332,50,85,20,0,2,21,21,2,42,60,0.256,0.341,0.334,0.676
