Description,2001,2002,2003,2004,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,Line
Money market mutual funds total financial assets asset,428.5,-16.7,-207.5,-136.5,-132.4,-85.9,-156.1,-171.8,-71.4,60.7,222.2,1
Money market mutual funds total financial assets asset,428.5,-16.7,-207.5,-136.5,-132.4,-85.9,-156.1,-171.8,-71.4,60.7,222.2,2
Households and nonprofit organizations money market mutual fund share holdings asset,153.4,-43.2,-110.1,-56.4,34.2,-32.3,-188.1,-39.3,-39.2,93.4,122.1,3
Nonfarm nonfinancial corporate business money market mutual fund shares asset,110.5,26.1,-38.0,-12.0,-0.7,11.5,-25.1,-33.7,-38.3,-6.1,15.4,4
Nonfarm noncorporate business money market mutual fund share holdings asset,9.6,2.3,-8.2,-3.2,-15.6,-0.7,-2.8,6.5,9.2,15.1,19.9,5
"State and local governments, excluding employee retirement funds money market fund shares asset",3.2,1.6,3.6,3.2,3.9,0.3,3.4,5.3,3.1,-1.0,4.0,6
Life insurance companies money market mutual fund share holdings asset,31.0,-13.5,-8.3,-30.7,-29.2,-18.1,-38.5,-37.2,-28.5,-4.3,1.7,7
Private pension funds money market mutual fund share holdings asset,3.8,2.3,1.5,0.8,0.6,0.6,0.9,1.0,1.4,1.1,2.2,8
State and local government employee retirement funds money market mutual fund shares asset,2.2,0.1,-2.9,-3.1,-2.9,-5.2,-3.8,-0.4,0.1,-0.0,1.1,9
Funding corporations money market mutual fund share holdings asset,114.7,7.7,-45.2,-35.2,-122.8,-41.9,97.9,-74.0,20.8,-37.5,55.7,10
