Pitcher,Team,G,IP,W,L,S,ERA,H,R,ER,HR,BB,K,G/F,WHIP,AVG,OPS
Cody Kukuk,Gre,19,76.2,0,13,0,5.63,63,62,48,3,60,79,1.6,1.6,0.216,0.641
Terry Doyle,PawPor,17,83.0,0,12,0,6.51,108,62,60,13,29,59,1.51,1.65,0.316,0.876
Justin Haley,Gre,15,67.0,0,11,0,4.7,54,46,35,7,40,65,1.33,1.4,0.223,0.735
Matt Barnes,Por,17,68.0,0,10,0,5.82,77,52,44,7,31,86,1.64,1.59,0.285,0.82
Chris Hernandez,PawPor,15,70.0,0,9,0,6.17,96,57,48,10,29,38,2.05,1.79,0.33,0.905
Francellis Montas,Gre,13,60.1,0,9,0,6.12,68,47,41,7,25,62,1.28,1.54,0.282,0.818
William Cuevas,Sal,12,52.0,0,9,0,8.31,68,53,48,8,15,48,0.77,1.6,0.312,0.871
Miguel Celestino,Por,26,47.2,0,9,0,7.36,55,41,39,6,27,47,0.96,1.72,0.291,0.833
Kyle Stroup,Sal,11,37.1,0,9,0,9.16,64,40,38,3,16,26,1.85,2.14,0.386,0.973
Charlie Haeger,PawPor,13,71.1,0,8,0,5.8,83,55,46,10,47,60,1.52,1.82,0.283,0.83
Jacob Dahlstrand,Gre,12,59.0,0,8,0,6.1,75,43,40,7,23,35,1.15,1.66,0.31,0.836
Miguel Pena,PorSal,10,48.1,0,8,0,6.7,62,38,36,4,20,30,1.36,1.7,0.32,0.908
Steven Wright,Paw,11,58.1,0,7,0,5.4,68,43,35,8,31,43,1.58,1.7,0.294,0.833
Drake Britton,PawPor,9,45.1,0,7,0,5.96,56,39,30,4,20,46,1.55,1.68,0.295,0.854
Yunior Ortega,GreLow,22,67.0,0,6,0,7.79,96,66,58,13,22,56,1.21,1.76,0.33,0.973
Austin Maddox,Gre,23,63.1,0,6,0,6.11,82,52,43,10,14,47,1.34,1.52,0.305,0.84
Brian Johnson,GreGCL,13,58.0,0,6,0,2.95,44,23,19,3,24,62,1.45,1.17,0.208,0.592
Mike Augliera,Sal,11,55.2,0,6,0,5.34,68,37,33,7,16,28,1.37,1.51,0.297,0.833
Henry Owens,PorSal,11,54.1,0,6,0,4.97,50,35,30,6,31,59,1.04,1.49,0.242,0.716
Francisco Taveras,GreLow,16,61.0,0,5,0,7.08,66,51,48,13,26,50,1.13,1.51,0.273,0.848
Jeremy Kehrt,PawPor,17,58.0,0,5,0,4.97,76,39,32,3,19,46,2.12,1.64,0.313,0.82
Mike McCarthy,PorSal,16,56.1,0,5,0,6.39,82,47,40,10,14,36,0.95,1.7,0.336,0.957
Heri Quevedo,SalLow,14,53.1,0,5,0,6.58,61,45,39,3,29,50,0.9,1.69,0.276,0.791
Anthony Ranaudo,PawPor,9,52.2,0,5,0,4.96,52,33,29,7,21,44,1.32,1.39,0.256,0.755
Matty Ott,Sal,15,29.0,0,5,0,7.14,40,23,23,2,9,28,1.38,1.69,0.331,0.848
