Opp,ORtg,Rk,Date,Tm,GmSc,G,ORB%
PHO,106,79,2003-04-11,GSW,2.8,79,0.0
DAL,113,4,2002-11-04,GSW,5.8,4,19.2
DEN,125,77,2003-04-06,GSW,9.9,77,15.2
DET,200,63,2003-03-09,GSW,0.8,63,0.0
UTA,136,43,2003-01-25,GSW,2.4,43,5.1
SAC,88,9,2002-11-13,GSW,3.6,9,16.6
SAC,100,67,2003-03-18,GSW,7.9,67,3.2
HOU,99,7,2002-11-09,GSW,0.6,7,13.0
NYK,91,55,2003-02-21,GSW,9.4,55,15.6
MEM,152,8,2002-11-11,GSW,7.6,8,13.0
HOU,108,15,2002-11-27,GSW,4.9,15,7.2
MIL, ,14,2002-11-22,GSW,0.2,14,0.0
MIN,86,52,2003-02-16,GSW,3.2,52,8.1
DEN,0,16,2002-11-29,GSW,-0.7,16,0.0
CHI,109,61,2003-03-06,GSW,9.5,61,7.3
CHI,149,13,2002-11-20,GSW,18.1,13,17.6
ATL,101,56,2003-02-23,GSW,12.2,56,14.3
HOU,138,69,2003-03-21,GSW,12.6,69,8.7
SAS,133,31,2003-01-03,GSW,9.4,31,11.2
MEM,97,24,2002-12-16,GSW,3.5,24,4.8
SAS,95,1,2002-10-30,GSW,13.0,1,18.0
ORL,167,11,2002-11-16,GSW,9.7,11,16.5
MEM,177,47,2003-02-03,GSW,8.9,47,0.0
LAL,149,21,2002-12-10,GSW,9.9,21,21.8
PHI,68,30,2002-12-30,GSW,4.0,30,21.3
MEM,89,37,2003-01-13,GSW,2.6,37,8.6
BOS,23,72,2003-03-26,GSW,-1.2,72,0.0
NYK,134,50,2003-02-12,GSW,5.5,50,9.4
POR,97,54,2003-02-19,GSW,9.8,54,5.3
IND,120,60,2003-03-04,GSW,7.6,60,7.1
POR,108,75,2003-04-01,GSW,8.5,75,14.0
SAC,101,27,2002-12-22,GSW,10.4,27,16.8
UTA,86,45,2003-01-31,GSW,3.4,45,0.0
ATL,126,49,2003-02-11,GSW,2.5,49,6.1
NOH,205,6,2002-11-08,GSW,13.3,6,11.5
DEN,82,18,2002-12-03,GSW,4.5,18,13.5
LAL,120,41,2003-01-22,GSW,7.0,41,5.6
LAL,159,82,2003-04-16,GSW,10.6,82,3.8
PHO,165,64,2003-03-11,GSW,25.6,64,34.1
MIN,0,19,2002-12-05,GSW,-2.1,19,0.0
PHO,153,17,2002-11-30,GSW,5.5,17,23.7
WAS,92,35,2003-01-10,GSW,4.0,35,38.3
SAS,89,48,2003-02-05,GSW,4.3,48,4.5
SEA,135,68,2003-03-19,GSW,7.0,68,9.9
PHO,173,46,2003-02-01,GSW,6.8,46,17.6
