Opp,STL%,eFG%,Age,Date
DAL,5.8,.500,34-248,1990-02-19
PHO,0.0,.500,34-261,1990-03-04
MIA,2.6,.500,34-228,1990-01-30
BOS,0.0,.750,34-148,1989-11-11
IND,0.0,.250,34-225,1990-01-27
NYK,0.0,1.000,34-246,1990-02-17
NYK,0.0,1.000,34-291,1990-04-03
NJN,10.1,.500,34-306,1990-04-18
PHI,0.0,.000,34-221,1990-01-23
ORL,0.0, ,34-275,1990-03-18
LAC,4.2,.000,34-234,1990-02-05
WSB,3.5,.625,34-147,1989-11-10
CHH,0.0, ,34-254,1990-02-25
ORL,0.0,.600,34-145,1989-11-08
NJN,2.2,.333,34-151,1989-11-14
IND,0.0,.667,34-141,1989-11-04
