AVG,SH,CS,SB,Player,POS
.286,3,2,1,S Pedroza,DH
.160,0,0,0,J Paul,C
.261,0,1,0,W Kendrick,2B
.143,0,0,0,R Tablado,SS
.167,0,1,0,J Roa,C
.325,2,10,18,A Escobar,SS
.225,1,0,2,J Christy,C
.239,2,0,3,V Hall,OF
.192,15,5,26,A Septimo,SS
.500,0,0,0,C Wells,OF
.282,0,2,7,K Reynolds,3B
.268,0,0,3,R Roberson,1B
.333,0,0,0,E Ontiveros,SS
.239,1,2,11,N Southard,OF
.135,3,0,0,O Guevara,C
.256,7,13,34,E Garcia,2B
.306,0,0,0,K Phillips,DH
.243,2,0,0,A Quintana,3B
.169,6,0,0,N Corredor,C
.186,1,0,0,Y Bucce,C
.174,0,1,1,K Howard,2B
.349,0,2,4,D Brinkley,OF
.154,0,0,1,J Moran,OF
.230,4,2,2,C Lopez,C
.219,0,0,1,J Hopf,C
.220,1,1,1,A Joseph,OF
.138,4,1,0,W Mottram,3B
.250,1,0,2,W Batista,SS
.219,1,0,0,A Jamieson,C
.276,0,3,1,A Calderone,OF
.287,1,2,6,Y Perez,SS
.306,0,4,10,T Colvin,CF
.286,0,0,0,T Dziuba,C
.238,4,3,6,K Harvey,OF
.000,0,0,0,G Suarez,SS
.210,2,1,1,R Arroyo,C
.161,0,0,1,T Langley,C
.257,4,4,8,M Bell,2B
.318,13,10,7,J Castro,SS
.268,0,0,0,B Buckman,1B
.267,1,1,1,J Gonzalez,SS
.000,0,0,0,A Boone,1B
.320,1,1,0,C Tatum,C
.246,2,0,1,B McCann,DH
.200,0,0,0,R Budde,C
.188,2,0,0,R Mendez,C
.248,1,2,0,C Gutierrez,SS
.241,3,1,1,R Barba,SS
.262,3,7,18,D Nelson,2B
.214,0,1,0,D Ryan,C
.200,0,0,0,P Cotto,1B
.253,3,4,14,S Robinson,OF
.213,0,2,11,C Roberson,OF
.196,0,0,0,C Moore,C
.167,0,0,0,A Lopez,OF
.378,0,0,0,V Mendez,OF
.167,0,0,0,M Jacobs,1B
.246,0,1,0,R Harvey,OF
.242,1,4,9,B Szymanski,OF
.232,4,7,12,N Walton,SS
.329,1,1,1,R Hughes,1B
.335,2,1,7,J Rea,OF
.349,1,1,3,C Heisey,OF
.261,15,1,4,N Spears,2B
.275,1,4,12,M Spidale,OF
.201,0,1,0,J Woodard,1B
.318,0,0,1,A Salome,C
.212,0,0,0,G Plumley,SS
.210,0,0,3,W Robbins,1B
.255,3,1,1,J Purdom,C
.308,0,0,0,J Giambi,1B
.260,2,6,19,C Amador,OF
.048,1,0,0,P Witt,SS
.209,1,1,0,D Solano,SS
.249,1,4,5,A Hatch,3B
.259,0,1,0,J Cooper,OF
.252,6,21,75,O Suero,DH
.231,1,1,1,A Rick,DH
.255,4,4,2,J Malo,2B
.276,0,4,2,A Sisk,SS
.283,0,3,7,D Scram,OF
.303,2,6,12,M Griffin,3B
.213,0,1,1,G Cabrera,OF
.264,0,0,1,J Miranda,1B
.285,1,10,27,S Tolleson,2B
.270,0,0,0,D Sanchez,C
.255,1,0,0,C Harris,1B
.256,2,1,1,J Piepkorn,1B
.278,0,0,0,C Iorg,SS
.231,5,6,36,D Ford,CF
.250,0,0,0,M Carp,1B
--,0,0,0,L Villarreal,P
.250,0,0,0,A Soto,C
.242,3,5,3,J Guerrero,2B
.283,0,4,18,A Van Slyke,DH
.179,3,1,4,M Holmann,2B
.309,0,2,1,J Kreuzer,1B
--,0,0,0,B Petrick,P
.312,0,3,8,A Craig,3B
.333,0,1,0,J Keppinger,2B
.228,1,5,12,L Ugueto,SS
.267,1,0,1,L Nunez,2B
.125,0,0,0,J Valentin,2B
.500,1,0,0,N Samson,SS
.236,5,7,21,J Rapoport,OF
--,0,0,0,R Asadoorian,P
.153,4,0,5,J St. Clair,2B
.272,2,0,5,J Hall,DH
.250,3,1,3,R Crew,2B
.258,1,2,3,J Hill,OF
.208,0,0,0,M Nickeas,C
.290,0,0,1,M Hamilton,1B
.269,4,3,7,J Portes,LF
.267,1,8,16,C Gillespie,LF
.429,0,0,0,D Mientkiewicz,1B
.218,5,8,20,T Battle,LF
.167,0,0,0,T Kennelly,C
.273,0,3,1,J Butler,OF
.363,3,1,0,C Corporan,C
.290,1,0,0,C Kainer,DH
.155,0,0,1,M Betsill,1B
.285,4,4,7,T D'Antonio,C
.262,0,3,1,C Errecart,1B
.214,7,4,4,H Vick,2B
.203,0,2,1,A Perez,OF
.250,1,3,2,C Cunningham,LF
.310,1,5,6,L Gorsett,OF
.667,0,0,0,A Quiroz,OF
.281,0,1,0,C Kroski,C
.259,0,0,0,B Jeroloman,C
.304,0,1,2,H Pellot,2B
.238,0,4,1,W Baez,3B
.200,0,0,0,B Blumenthal,C
.000,0,0,0,R Baldelli,OF
.298,3,4,4,C Curtis,OF
.311,1,3,10,M Camp,OF
.333,0,0,0,J Hermida,OF
.000,0,0,0,J Mauer,C
.271,5,6,22,R Corona,SS
