Skaters,G,A,Pts,+/-,PIM,SOG,Bks,Hits,Take,Give,FW,FL,FO%,Shifts,TOI
Keith BallardDFP,1,0,1,1,0,2,0,2,0,0,0,0,0,33,22:33
Jonathon BlumDFP,0,0,0,0,0,1,7,1,0,0,0,0,0,27,21:34
Kyle BrodziakDFP,0,0,0,0,0,4,0,1,3,0,10,9,53%,25,20:56
Matt CookeDFP,0,0,0,0,0,1,1,2,0,1,2,1,67%,25,20:04
Jake DowellDFP,0,0,0,0,2,0,1,0,0,0,0,0,0,16,11:02
Matt DumbaDFP,0,0,0,1,2,2,0,1,0,0,0,0,0,27,22:36
Justin FontaineDFP,0,1,1,1,0,1,1,0,1,0,0,0,0,18,18:55
Kris FoucaultDFP,0,0,0,0,0,0,0,1,0,0,0,0,0,14,12:19
Tyler GraovacDFP,0,0,0,0,0,0,1,0,0,0,4,4,50%,13,11:49
Erik HaulaDFP,0,0,0,1,0,3,0,0,0,1,3,7,30%,21,17:29
Jon LandryDFP,0,0,0,0,7,1,0,1,0,0,0,0,0,15,13:18
Carson McMillanDFP,0,0,0,0,0,1,1,4,0,0,0,0,0,14,11:37
Torrey MitchellDFP,0,0,0,0,0,1,0,1,0,0,0,0,0,23,14:28
Nino NiederreiterDFP,0,0,0,0,0,1,1,5,0,0,0,1,0%,20,18:13
Nate ProsserDFP,0,0,0,0,0,1,2,1,0,0,0,0,0,27,22:20
Dave SteckelDFP,0,0,0,0,0,3,2,1,1,0,5,8,39%,20,12:25
Clayton StonerDFP,0,0,0,0,0,2,1,0,0,1,0,0,0,30,21:50
Jason ZuckerDFP,0,1,1,1,0,3,1,0,1,0,0,0,0,21,19:15
