Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Matt Spring,3 Teams,14,51,6,13,7,0,2,11,0,0,6,20,0.255,0.333,0.51,0.843
Reynaldo Rodriguez,3 Teams,20,74,9,18,3,0,3,7,3,0,6,21,0.243,0.317,0.405,0.722
Jair Bogaerts,DSL,13,46,2,15,5,0,1,5,0,0,4,13,0.326,0.392,0.5,0.892
Anthony Amaya,DSL,7,22,2,6,3,0,0,1,1,1,3,4,0.273,0.385,0.409,0.794
Alixon Suarez,DSL,15,45,5,12,4,0,0,5,0,0,7,8,0.267,0.411,0.356,0.766
Roberto Duncan,DSL,10,27,1,7,2,0,0,6,1,0,2,10,0.259,0.394,0.333,0.727
David Sopilka,DSL,18,59,7,15,4,0,1,6,1,1,8,11,0.254,0.348,0.373,0.721
Jeremias Pineda,DSL,18,58,5,13,2,2,1,10,4,1,8,25,0.224,0.328,0.379,0.708
Aly Gonzalez,DSL,9,23,3,5,1,0,0,2,0,0,6,3,0.217,0.4,0.261,0.661
Ynoel Aguero,DSL,18,60,7,10,3,0,0,6,9,0,13,11,0.167,0.315,0.217,0.532
Andres Garcia,DSL,18,56,6,6,2,0,0,0,2,3,18,11,0.107,0.342,0.143,0.485
Deiner Lopez,DSL,12,45,2,9,1,0,0,3,5,2,3,13,0.2,0.25,0.222,0.472
Aneudis Peralta,DSL,13,41,8,5,0,0,0,1,1,1,9,5,0.122,0.294,0.122,0.416
Juan Ugas,DSL,3,8,0,0,0,0,0,0,0,0,3,4,0.0,0.273,0.0,0.273
Cleuluis Rondon,DSL,11,34,2,3,0,0,0,1,2,0,3,10,0.088,0.184,0.088,0.272
Zach Kapstein,GCL,13,37,4,18,3,0,1,3,0,0,2,7,0.486,0.525,0.649,1.174
Mookie Betts,GCL,1,4,0,2,0,0,0,2,1,0,0,0,0.5,0.5,0.5,1.0
Jose Vinicio,GCL,18,70,7,27,4,3,0,9,5,4,2,10,0.386,0.403,0.529,0.931
Lucas LeBlanc,GCL,5,11,0,4,1,0,0,0,0,0,1,1,0.364,0.462,0.455,0.916
David Chester,GCL,13,41,7,10,1,0,4,5,0,0,5,12,0.244,0.34,0.561,0.901
Cody Koback,GCL,19,55,11,16,3,0,1,8,0,1,6,14,0.291,0.426,0.4,0.826
Jesus Loya,GCL,16,57,8,17,3,0,2,5,7,0,5,6,0.298,0.369,0.456,0.825
Jose Colorado,GCL,18,66,6,19,4,3,0,4,2,3,4,17,0.288,0.338,0.439,0.777
Kendrick Perkins,GCL,17,55,8,13,3,0,1,7,1,0,10,19,0.236,0.364,0.345,0.709
Aneury Tavarez,GCL,17,55,8,11,0,0,3,5,0,1,7,21,0.2,0.308,0.364,0.671
