eFG%,GmSc,ORB%,AST%,Date,G,USG%
.000,5.4,20.3,0.0,1995-11-17,8,14.8
.333,3.2,29.6,0.0,1996-04-17,71,13.9
.200,1.1,12.1,0.0,1996-02-24,44,15.4
.000,-0.5,6.5,0.0,1996-02-06,37,14.8
.600,11.9,8.4,3.9,1995-11-14,6,8.4
.000,-0.7,0.0,0.0,1995-11-05,2,45.5
.500,0.5,0.0,0.0,1996-02-21,42,17.0
.000,-0.1,0.0,0.0,1996-02-23,43,12.6
1.000,2.7,13.3,18.2,1995-11-24,11,5.4
 ,-1.6,0.0,0.0,1996-03-10,51,13.9
.000,-0.8,0.0,0.0,1996-03-31,62,9.0
.556,10.4,10.7,0.0,1995-11-19,9,21.4
 ,0.9,15.9,0.0,1996-03-08,50,5.3
.167,2.9,13.7,0.0,1996-04-09,66,14.8
.600,12.5,16.0,0.0,1996-03-05,48,12.0
1.000,-1.4,0.0,0.0,1996-04-03,64,9.8
.000,-1.5,15.6,0.0,1995-12-21,20,12.0
1.000,0.5,0.0,0.0,1996-01-21,31,11.8
1.000,1.0,0.0,9.4,1995-12-26,22,2.9
 ,-0.5,0.0,0.0,1996-04-15,70,0.0
.500,8.2,0.0,0.0,1996-01-26,32,14.6
.500,10.9,14.9,0.0,1996-03-19,56,12.3
.000,1.7,11.3,7.6,1996-02-05,36,9.7
 ,2.1,10.4,10.6,1996-02-29,47,3.4
.000,-3.6,0.0,0.0,1995-12-12,16,20.6
.000,0.8,0.0,0.0,1996-03-13,53,15.8
.600,2.2,6.4,0.0,1995-11-28,12,25.4
.500,2.0,0.0,0.0,1996-02-16,40,14.6
1.000,7.0,6.8,6.6,1995-11-10,5,8.8
.000,-1.5,0.0,0.0,1996-03-07,49,19.3
1.000,3.8,0.0,14.9,1995-11-16,7,12.5
.000,-0.1,0.0,0.0,1996-01-09,25,13.7
.000,-0.7,0.0,0.0,1996-01-13,27,15.0
.600,11.0,16.8,0.0,1996-03-22,58,14.5
.333,3.1,47.3,0.0,1996-03-20,57,26.0
.333,2.8,13.4,0.0,1996-04-02,63,10.7
.200,1.1,0.0,6.7,1996-04-12,68,11.6
 ,0.3,33.3,0.0,1996-02-19,41,0.0
.000,3.7,5.4,0.0,1995-12-18,19,1.9
.000,0.7,10.9,17.8,1996-02-28,46,9.3
.000,1.6,12.0,18.8,1996-04-07,65,10.9
.750,6.1,6.0,7.6,1996-02-03,35,11.5
