Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,8.50K,20.00K
MEETEETSE,PARK CO.,WY,06/05/2009,16:25,MST-7,Hail,1.00 in.,0,0,0.00K,20.00K
MEETEETSE,PARK CO.,WY,06/05/2009,16:25,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
GRASS CREEK,HOT SPRINGS CO.,WY,06/05/2009,16:30,MST-7,Hail,0.88 in.,0,0,0.00K,0.00K
GREYBULL ARPT,BIG HORN CO.,WY,06/05/2009,17:33,MST-7,Thunderstorm Wind,55 kts. MG,0,0,0.00K,0.00K
GREYBULL,BIG HORN CO.,WY,06/05/2009,17:43,MST-7,Thunderstorm Wind,52 kts. EG,0,0,1.50K,0.00K
SHELL,BIG HORN CO.,WY,06/05/2009,17:53,MST-7,Thunderstorm Wind,61 kts. EG,0,0,1.00K,0.00K
GREYBULL,BIG HORN CO.,WY,06/05/2009,17:55,MST-7,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
SHELL,BIG HORN CO.,WY,06/05/2009,18:02,MST-7,Thunderstorm Wind,56 kts. EG,0,0,2.50K,0.00K
SHELL,BIG HORN CO.,WY,06/05/2009,18:05,MST-7,Thunderstorm Wind,56 kts. EG,0,0,0.50K,0.00K
SHELL,BIG HORN CO.,WY,06/05/2009,18:15,MST-7,Thunderstorm Wind,52 kts. EG,0,0,3.00K,0.00K
Totals:, , , , , , , ,0,0,8.50K,20.00K
