STL%,ORB%,Age,TOV%,AST%,Tm,GS
0.0,7.3,28-230,0.0,0.0,DEN,0
2.1,11.8,28-274,41.0,0.0,DEN,0
0.0,0.0,28-233,33.3,0.0,DEN,0
2.6,9.3,28-343,22.5,0.0,DEN,0
3.5,30.6,29-023,9.2,0.0,DEN,0
0.0,0.0,28-348,33.3,0.0,DEN,0
0.0,4.9,28-332,0.0,0.0,DEN,0
0.0,30.9,28-346,0.0,0.0,DEN,0
0.0,40.6,29-001,0.0,18.0,DEN,0
0.0,8.9,28-246,50.0,0.0,DEN,0
0.0,63.2,28-306,50.0,0.0,DEN,0
2.9,16.0,29-022,9.3,0.0,DEN,0
0.0,0.0,28-225,0.0,0.0,DEN,0
3.6,0.0,28-337,31.6,0.0,DEN,0
0.0,0.0,28-292,0.0,0.0,DEN,0
4.5,11.5,28-221,29.6,0.0,DEN,0
2.8,6.4,28-323,14.8,26.0,DEN,0
0.0,18.8,29-013,20.0,0.0,DEN,0
0.0,13.8,28-242,0.0,0.0,DEN,0
3.4,7.5,28-361,17.0,8.1,DEN,0
0.0,0.0,28-286,33.3,0.0,DEN,0
6.5,0.0,28-275,17.0,0.0,DEN,0
0.0,0.0,28-356,0.0,0.0,DEN,0
0.0,8.6,28-277,0.0,0.0,DEN,0
0.0,7.0,28-345,0.0,8.6,DEN,0
0.0,0.0,28-269,0.0,0.0,DEN,0
0.0,0.0,28-255,50.0,0.0,DEN,0
0.0,16.7,28-354,50.0,0.0,DEN,0
0.0,4.0,28-259,0.0,0.0,DEN,0
0.0,31.2,28-365,0.0,0.0,DEN,0
1.6,23.2,28-328,5.4,5.0,DEN,0
0.0,5.9,29-025,20.5,0.0,DEN,0
1.9,4.7,28-278,25.4,5.2,DEN,0
0.0,30.8,28-304,0.0,0.0,DEN,0
0.0,10.6,28-326,0.0,5.0,DEN,0
0.0,0.0,28-299, ,0.0,DEN,0
0.0,14.9,28-243,0.0,0.0,DEN,0
0.0,15.6,28-239,50.0,0.0,DEN,0
2.3,4.9,28-283,0.0,14.0,DEN,0
0.0,4.3,28-271,0.0,0.0,DEN,0
0.0,7.9,28-226,29.6,0.0,DEN,0
