Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,Won,Lost,Draw,%,Opposition,Match Date
1,1,0,0,0,0,0,0,0,1,0,0.0,v Scotland,19 Mar 1938
2,2,0,0,0,0,0,0,1,1,0,50.0,v Ireland,12 Feb 1938
3,3,0,3,1,0,0,0,1,2,0,33.33,v Wales,15 Jan 1938
4,4,0,6,2,0,0,0,2,2,0,50.0,v Scotland,20 Mar 1937
5,5,0,9,3,0,0,0,3,2,0,60.0,v Ireland,13 Feb 1937
6,6,0,13,3,0,0,1,4,2,0,66.66,v Wales,16 Jan 1937
7,7,0,13,3,0,0,1,5,2,0,71.42,v Scotland,21 Mar 1936
8,8,0,16,4,0,0,1,5,3,0,62.5,v Ireland,8 Feb 1936
9,9,0,16,4,0,0,1,5,3,1,61.11,v Wales,18 Jan 1936
10,10,0,19,5,0,0,1,6,3,1,65.0,v New Zealand,4 Jan 1936
