Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Carson Blair,LowGCL,40,126,15,27,9,0,2,20,0,1,17,47,0.214,0.293,0.333,0.627
Alex Hassan,GreLow,34,125,20,41,8,2,2,18,1,1,10,18,0.328,0.375,0.472,0.847
Seth Schwindenhammer,GCL,36,124,11,24,6,2,0,10,0,1,8,41,0.194,0.252,0.274,0.526
William Vazquez,Sal,43,122,9,22,8,1,1,18,1,0,11,37,0.18,0.275,0.287,0.562
Aly Gonzalez,DSL,36,121,19,27,3,1,0,15,0,0,23,20,0.223,0.352,0.264,0.616
John Otness,PawPor,35,118,11,29,9,0,1,16,0,0,14,18,0.246,0.338,0.347,0.686
Zak Farkes,Sal,34,105,12,24,9,1,2,13,1,0,7,24,0.229,0.278,0.39,0.669
Derwin Pinto,DSL,30,105,16,21,2,1,0,14,1,2,14,25,0.2,0.298,0.238,0.536
Christian Vazquez,LowGCL,31,101,9,18,7,0,2,16,0,0,15,23,0.178,0.291,0.307,0.598
Eddie Lora,GCL,34,99,9,22,6,2,3,7,0,0,9,34,0.222,0.287,0.414,0.701
Boss Moanaroa,GCL,29,97,8,28,4,0,0,7,0,0,12,26,0.289,0.364,0.33,0.694
William Holmes,Low,27,91,15,24,3,1,2,14,0,2,7,28,0.264,0.333,0.385,0.718
David Marks,Gre,29,91,12,18,5,0,4,12,1,2,7,34,0.198,0.248,0.385,0.632
Chris Duncan,Paw,27,85,8,16,3,0,2,10,0,0,7,20,0.188,0.255,0.294,0.549
Brad Correll,Sal,24,84,14,23,5,0,2,13,3,1,10,18,0.274,0.347,0.405,0.752
Jed Lowrie,3 Teams,26,84,12,17,6,0,3,11,0,0,15,14,0.202,0.327,0.381,0.708
Roberto Ramos,GCL,38,83,12,21,5,0,0,10,7,2,4,18,0.253,0.281,0.313,0.594
Daniel Butler,SalLow,24,81,7,14,3,1,1,10,0,1,4,15,0.173,0.253,0.272,0.524
Brian Anderson,Paw,24,80,9,16,4,0,4,8,0,2,7,22,0.2,0.281,0.4,0.681
Carlos Maldonado,Paw,24,80,9,18,2,0,2,15,0,0,10,14,0.225,0.304,0.325,0.629
Tyler Yockey,GCL,26,77,16,20,3,3,2,12,1,0,6,33,0.26,0.306,0.455,0.76
Leonel Escobar,GCLDSL,27,77,14,20,7,0,0,11,0,1,10,9,0.26,0.36,0.351,0.71
Javier Gutierrez,DSL,30,77,14,15,3,1,2,9,3,0,14,22,0.195,0.347,0.338,0.685
Juan Bonifacio,GCL,30,77,9,16,5,1,1,1,2,1,5,19,0.208,0.274,0.338,0.611
Sean Killeen,Low,23,76,7,19,3,0,0,3,0,2,7,16,0.25,0.321,0.289,0.611
