Inn,Ch,Rdrs/yr,GS,A,PO
18.1,7,0,2,1,6
57.0,12,19,5,0,11
23.0,11,-57,1,0,10
397.2,126,-3,42,2,124
77.0,22,-2,5,2,20
1096.2,331,8,122,4,324
408.0,134,-5,45,3,131
68.0,19,-2,7,0,19
2.0,1,0,0,0,1
381.0,96,13,42,3,90
97.2,20,-26,13,1,18
516.1,118,-3,55,2,115
418.0,116,9,46,2,112
394.1,125,-3,42,2,123
919.2,208,-12,107,2,203
0.1,0,0,0,0,0
17.0,4,71,2,0,3
1176.1,223,-7,137,9,211
985.2,263,2,114,7,247
2.0,0,0,0,0,0
123.2,29,9,14,0,27
840.0,256,-24,94,6,247
332.1,78,11,40,3,73
63.0,16,36,6,0,16
7.0,1,171,1,0,1
1.0,0,0,0,0,0
67.2,20,-35,7,0,20
521.0,147,-9,50,0,146
1398.0,391,6,157,9,380
123.0,45,48,12,1,44
146.2,31,7,14,1,30
407.0,129,-15,39,0,128
16.0,2,0,1,0,2
1.2,0,0,0,0,0
996.0,197,-13,126,4,192
845.2,215,-4,92,8,204
575.2,158,25,63,9,147
65.0,20,18,3,1,18
663.2,211,2,75,7,200
755.1,252,10,79,2,248
259.0,78,-9,24,1,77
4.0,0,0,0,0,0
1.0,1,-1200,0,0,1
934.2,245,18,101,10,232
95.0,22,-14,13,0,22
598.1,155,12,65,1,153
185.1,26,19,18,1,25
1164.1,298,18,134,19,273
466,121, ,52,3,116
140.0,43,-35,12,2,38
11.0,2,-109,1,0,2
315.1,71,3,38,1,65
1.0,0,0,0,0,0
230.2,52,-47,27,1,49
597.1,119,6,65,6,111
51.0,15,-94,6,0,14
1045.1,321,11,126,4,314
694.0,164,14,77,4,158
345.0,96,7,37,1,93
89.0,22,0,9,0,22
129.0,29,-37,10,1,28
90.1,26,25,10,2,24
1329.0,377,3,148,7,365
1237.0,286,-11,142,13,265
80.0,16,-61,8,1,15
1236.2,258,-17,137,6,246
331.0,80,14,32,0,80
49.2,7,22,6,0,7
1.0,0,0,0,0,0
304.0,76,23,15,0,76
3.0,1,0,0,0,1
47.0,17,0,6,0,17
0.2,0,0,0,0,0
142.0,33,-34,15,0,32
101.0,26,34,11,1,24
566.1,122,14,60,4,115
673.2,188,-12,66,2,183
353.0,102,20,32,1,101
608.0,203,10,63,5,197
6.0,1,0,1,0,1
11.0,2,0,1,0,2
22.0,2,-60,3,0,2
18.0,5,-7,1,0,5
446.1,141,-3,49,3,136
222.0,51,-1,22,1,49
1.2,0,0,0,0,0
20.0,4,0,2,0,4
144.2,63,24,17,2,60
616.0,178,-10,64,3,172
119.2,31,-31,11,0,31
