Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1978-04-09,TOR,DET,L 4-8 @DET,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1st career game, 1st career hit"
1978-04-27,TOR,KCA,W 8-7 @KCA,5,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,9,1st career RBI
1978-05-28,TOR,NYA,L 5-6 @NYA,5,2,4,0,0,1,2,1,1,1,0,0,0,0,0,0,28,"4 hits, 1st career home run, 1st career stolen base"
1982-06-07,TOR,CLE,W 7-3 vs CLE,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,242,2 home runs
1982-08-17,TOR,CLE,L 5-6 vs CLE,5,2,2,0,0,2,2,0,0,0,2,0,0,0,0,0,308,2 home runs
1983-08-19,TOR,BOS,W 8-7 @BOS,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,469,4 strikeouts
1983-08-30,TOR,BOS,L 4-5 vs BOS,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,481,4 hits
1983-09-20,TOR,SEA,W 7-3 vs SEA,3,1,2,1,0,0,2,0,0,1,1,0,0,0,0,0,500,500th career game
1983-09-21,TOR,SEA,W 4-3 vs SEA,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,501,4 hits
1984-04-22,TOR,CAL,L 6-9 vs CAL,5,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,524,4 hits
1984-04-26,TOR,OAK,L 4-7 vs OAK,4,2,2,0,0,2,2,0,0,0,1,0,0,0,0,0,528,2 home runs
1985-04-28,TOR,TEX,W 6-3 @TEX,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,680,2 home runs
1985-07-09,TOR,SEA,W 9-4 @SEA,5,1,4,0,1,0,2,0,1,2,0,0,1,0,0,0,745,4 hits
1987-04-11,TOR,BOS,W 11-1 @BOS,5,2,3,0,0,1,3,0,0,0,2,0,0,0,0,0,970,100th career home run
1987-05-18,TOR,CAL,W 12-0 @CAL,5,2,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1000,1000th career game
1988-04-26,CLE,SEA,W 12-6 vs SEA,4,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1133,1000th career hit
1988-06-27,CLE,BOS,L 5-9 @BOS,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1188,500th career RBI
1988-08-26,CLE,CHA,W 7-6 @CHA,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1238,4 walks
