S,Feb,Jun,Last,Oct,May,Totals
292,0,0,28 Dec,18,86,501
0,0,0,18 May,0,11,11
2587,2,0,8 Dec,1409,599,3467
145,21,0,29 Dec,64,29,249
0,0,0,4 May,0,0,0
25,0,0,28 Oct,11,0,37
28,0,0,8 Dec,15,51,199
15,0,0,8 Dec,4,16,51
111,6,1,29 Dec,67,10,146
74,0,0,8 Dec,0,0,74
0,0,0,10 Mar,0,0,0
1,0,0,28 Dec,0,0,1
4,0,0,25 Sep,0,0,5
1,0,0,4 Oct,1,0,1
4,0,0,28 Oct,3,2,6
3,0,0,7 Oct,1,0,8
478,0,0,28 Oct,472,0,526
0,0,0,18 Aug,0,0,0
93,0,0,29 Dec,36,6,682
1,0,0,7 Jan,0,0,5
62,0,0,28 Dec,2,0,118
22,0,0,20 Oct,6,5,32
60,0,8,26 Nov,12,203,439
186,0,0,29 Dec,14,7,595
2,0,0,1 May,0,2,4
1,1,0,26 May,0,1,3
26,0,1,28 Sep,0,7,37
21,0,0,28 Oct,19,0,23
32,0,0,8 Dec,1,0,32
41,0,0,8 Dec,5,441,991
20,0,0,8 Dec,8,0,36
1,0,0,19 Oct,1,0,1
0,0,0,18 May,0,2,2
0,0,0,31 Aug,0,0,47
7,0,0,23 Sep,0,29,38
1,0,0,28 Sep,0,0,1
9,0,0,5 Oct,9,179,514
15,0,0,8 Dec,0,0,15
5259,0,0,29 Dec,4818,13,5316
1,0,0,7 Oct,1,0,1
870,7,0,29 Dec,66,83,1410
2,0,0,28 Dec,0,0,2
1,0,0,28 Oct,1,0,1
1,0,0,25 Jul,0,19,27
0,0,0,18 May,0,1,1
56,0,0,25 Sep,0,14,92
113,0,0,26 Nov,92,13,132
95,0,0,8 Dec,23,0,97
42,0,0,20 Oct,10,4,80
24,0,0,31 Aug,0,100,347
139,0,6,18 Aug,0,1255,1946
127,0,0,26 Nov,18,24,244
9,0,0,5 Oct,9,0,9
535,0,0,28 Oct,3,1309,2026
2,0,0,20 Oct,2,0,2
0,0,0,30 Apr,0,0,1
195,11,0,29 Dec,58,35,369
69,0,0,26 Nov,63,0,69
22,18,4,2 Jun,0,0,50
0,0,0,30 Apr,0,0,1
0,0,0,7 May,0,54,94
0,0,0,18 Aug,0,0,0
93,0,0,20 Oct,58,0,97
1,0,0,5 Oct,1,0,1
160,0,0,29 Dec,58,0,164
19,0,0,7 Oct,4,517,1219
176,0,0,8 Dec,161,0,237
0,0,0,2 Jun,0,5,8
9,0,0,26 Nov,1,0,13
1,0,0,19 Oct,1,0,1
75,0,0,25 Sep,0,101,233
11,0,0,8 Dec,6,4,23
76,0,0,19 Oct,20,28,136
21,0,0,7 Oct,5,561,601
0,0,0,18 May,0,4,4
69,0,0,8 Dec,0,0,69
0,0,0,6 Jan,0,0,2
286,0,0,29 Dec,178,0,1416
4,0,0,28 Oct,3,0,5
0,0,0,4 May,0,0,0
0,0,0,18 May,0,1,1
5,0,0,29 Sep,0,49,232
1,0,0,29 Dec,0,0,1
0,0,0,20 Jan,0,0,0
1,0,0,14 Sep,0,0,1
1,0,0,31 Aug,0,41,134
86,0,0,8 Dec,62,3,93
206,16,0,29 Dec,0,241,801
0,0,0,20 Apr,0,0,0
7689,63,0,29 Dec,7092,87,7919
27,0,0,28 Dec,23,0,34
25,0,0,8 Dec,1,0,59
 ,0:30,1:00, ,26:15,25:45,149:35
1,0,0,7 Oct,1,1,2
747,0,86,29 Dec,44,292,1961
646,0,0,28 Oct,641,2,655
0,0,0,22 Mar,0,0,1
98,0,0,8 Dec,71,0,100
0,0,0,27 Apr,0,0,0
248,0,0,29 Dec,55,85,995
0,0,0,1 May,0,1,1
0,0,0,6 Apr,0,0,1
244,0,0,29 Dec,105,1,298
2,0,0,5 Oct,1,0,3
126543,318,125, ,106202,9758,159468
0,0,0,5 Jan,0,0,1
16,0,0,17 Nov,1,19,43
0,0,0,18 May,0,6,6
1,0,0,20 Oct,1,0,1
31,0,0,28 Oct,3,14,157
