Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,Por,309,37,67,16,3,10,24,7,2,53,77,0.217,0.334,0.385,0.719
Michael Almanzar,Por,354,42,93,22,2,9,54,8,1,28,78,0.263,0.321,0.412,0.733
Matt Spring,Por,135,16,31,10,0,7,24,0,0,4,45,0.23,0.261,0.459,0.72
Tony Thomas,Por,281,32,61,18,5,7,49,13,2,27,80,0.217,0.296,0.391,0.687
J.C. Linares,Por,210,34,58,18,1,6,36,0,0,19,49,0.276,0.356,0.457,0.813
Xander Bogaerts,Por,152,33,49,7,4,5,28,4,1,27,33,0.322,0.429,0.52,0.948
Garin Cecchini,Por,159,25,44,7,2,2,19,7,2,41,33,0.277,0.421,0.384,0.804
Christian Vazquez,Por,243,28,66,13,1,2,29,3,3,32,32,0.272,0.361,0.358,0.719
Ryan Dent,Por,132,19,38,5,0,2,15,6,2,9,31,0.288,0.333,0.371,0.705
Peter Hissey,Por,194,26,53,12,1,2,19,13,4,16,38,0.273,0.329,0.376,0.705
Shannon Wilkerson,Por,332,50,79,14,6,2,28,22,11,37,70,0.238,0.32,0.334,0.654
Heiker Meneses,Por,225,27,55,11,1,2,21,5,4,14,63,0.244,0.306,0.329,0.635
Stephen Drew,Por,10,1,3,1,0,1,3,0,0,2,0,0.3,0.385,0.7,1.085
Ronald Bermudez,Por,49,8,12,0,0,1,5,1,2,6,11,0.245,0.327,0.306,0.633
Nick Natoli,Por,11,2,6,1,0,0,2,1,0,0,2,0.545,0.545,0.636,1.182
Matty Johnson,Por,64,9,21,1,1,0,3,6,4,5,8,0.328,0.386,0.375,0.761
Kevin Heller,Por,14,1,3,1,0,0,3,1,0,1,3,0.214,0.267,0.286,0.552
Derrik Gibson,Por,181,20,38,6,1,0,12,8,4,17,52,0.21,0.28,0.254,0.534
Brandon Jacobs,Por,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5
Deven Marrero,Por,60,6,12,0,0,0,4,5,0,9,14,0.2,0.296,0.2,0.496
Alberto Rosario,Por,23,3,5,0,0,0,4,0,0,1,2,0.217,0.269,0.217,0.487
Kolbrin Vitek,Por,141,10,26,3,1,0,8,2,2,9,40,0.184,0.237,0.22,0.457
David Ross,Por,3,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0
Leonel Escobar,Por,0,0,0,0,0,0,0,0,0,1,0, ,1.0, , 
