DRtg,MP,Date,eFG%,Age
115,4:00,1994-12-15,.500,26-174
100,13:00,1995-02-14,.667,26-235
116,13:00,1994-12-26,.125,26-185
116,3:00,1995-01-03,.000,26-193
112,12:00,1995-02-08,.250,26-229
96,16:00,1994-12-06,.571,26-165
136,11:00,1995-03-16,.500,26-265
91,3:00,1994-12-08,1.000,26-167
122,11:00,1995-01-22,.667,26-212
112,1:00,1995-03-09, ,26-258
103,14:00,1995-02-27,.625,26-248
105,24:00,1995-02-04,.750,26-225
101,16:00,1994-12-03,.556,26-162
113,9:00,1994-12-17,.500,26-176
68,3:00,1994-11-04, ,26-133
119,2:00,1995-03-17, ,26-266
77,11:00,1995-01-17,.000,26-207
-37,1:00,1994-12-02,.500,26-161
107,5:00,1994-12-11,1.000,26-170
95,3:00,1994-12-10,1.000,26-169
110,10:00,1995-01-31,.429,26-221
117,5:00,1995-02-20,.000,26-241
100,8:00,1995-04-05,.000,26-285
101,11:00,1995-01-05,.500,26-195
96,11:00,1995-03-14,.429,26-263
88,8:00,1995-01-10,1.000,26-200
114,7:00,1995-03-12,1.000,26-261
105,5:00,1995-01-15,.600,26-205
98,6:00,1995-01-24,.000,26-214
122,5:00,1995-02-25,.000,26-246
107,16:00,1995-02-23,.333,26-244
