FTM,SPG,FGA,FG%,3PM
0.1,0.1,0.5,0.2,0.1
0.3,0.2,0.9,0.344,0.2
0.0,0.0,0.2,0.5,0.0
0.8,1.5,6.6,0.452,1.2
0.8,0.1,4.6,0.413,0.6
0.4,0.3,1.0,0.286,0.1
4.0,1.2,10.4,0.519,0.0
0.3,0.0,1.0,0.444,0.0
0.2,0.2,1.2,0.6,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.1,2.5,0.415,0.6
0.0,0.2,0.6,0.25,0.2
0.0,0.0,0.2,0.0,0.0
0.0,0.2,0.8,0.0,0.0
0.4,0.3,1.8,0.477,0.0
0.0,0.2,0.6,0.571,0.0
0.4,0.0,1.8,0.0,0.0
1.1,0.8,5.9,0.497,0.1
1.4,0.7,5.3,0.38,1.0
0.3,0.1,0.9,0.727,0.0
0.2,0.0,1.0,0.222,0.0
2.5,0.4,7.1,0.466,0.3
0.0,0.0,0.0,0.0,0.0
2.7,0.6,7.9,0.497,0.0
0.0,0.0,0.2,0.5,0.0
3.1,1.2,9.0,0.457,0.0
2.7,2.9,13.6,0.359,2.5
0.9,0.3,3.7,0.502,0.0
0.2,0.0,0.8,0.4,0.0
2.5,1.5,11.6,0.416,2.5
2.2,1.2,8.1,0.373,1.5
0.0,0.0,0.1,1.0,0.0
0.8,0.3,3.1,0.511,0.0
0.1,0.0,0.7,0.167,0.0
0.4,0.2,1.7,0.405,0.2
0.4,0.7,2.2,0.492,0.0
1.8,1.1,5.4,0.415,0.7
0.8,0.3,1.8,0.339,0.0
3.5,0.9,9.6,0.432,1.1
0.4,0.5,5.0,0.412,0.9
0.8,0.4,3.4,0.406,0.4
0.0,0.0,0.0,0.0,0.0
0.3,0.4,2.8,0.452,0.1
0.7,0.5,5.9,0.324,1.0
1.5,0.7,4.6,0.486,0.0
0.5,0.1,2.0,0.25,0.4
0.3,0.3,1.5,0.472,0.0
2.1,1.4,7.4,0.505,0.5
0.7,0.2,0.6,0.143,0.0
4.6,1.5,16.7,0.388,3.9
0.4,0.2,1.8,0.256,0.3
3.4,0.7,10.0,0.512,1.1
2.2,0.4,5.6,0.501,0.0
0.4,0.4,4.3,0.293,0.4
0.0,0.0,0.0,0.0,0.0
1.2,0.8,5.4,0.388,0.5
1.1,1.5,5.2,0.352,0.5
1.2,0.9,5.5,0.388,0.5
0.1,0.2,2.8,0.357,0.4
0.2,0.5,2.1,0.373,0.0
