SB,SH,G,AB,Team,SF,SLG
1,0,7,26,MB,0,.385
0,0,1,0,POT,0,--
0,3,26,73,WIL,0,.164
14,10,68,219,WIL,1,.279
1,2,26,84,WIL,0,.357
10,5,122,436,MB,3,.404
0,0,5,16,POT,0,.563
0,0,14,53,FRE,0,.245
1,1,15,45,WS,0,.356
2,0,41,124,SAL,0,.452
22,5,49,211,WS,1,.360
16,0,107,361,POT,3,.388
1,1,39,153,CAR,4,.366
0,0,3,11,MB,0,.182
2,0,62,216,SAL,4,.333
15,0,63,214,SAL,0,.547
0,0,6,19,WIL,0,.158
10,1,87,302,WS,2,.391
0,0,0,0,WS,0,--
3,0,38,124,WS,2,.274
1,1,23,82,CAR,0,.256
3,5,43,147,CAR,3,.238
0,1,73,241,CAR,3,.419
0,3,24,84,LYN,0,.226
10,1,41,131,FRE,0,.397
2,2,29,95,MB,1,.368
0,0,2,3,FRE,0,.000
3,0,30,110,POT,1,.464
5,1,59,191,POT,2,.335
1,1,19,59,SAL,0,.220
18,2,134,518,CAR,2,.400
0,0,75,285,FRE,2,.439
0,0,53,185,CAR,5,.346
1,1,20,71,CAR,0,.380
20,1,51,185,SAL,1,.551
0,0,4,17,FRE,0,.294
19,2,97,364,FRE,0,.313
0,0,1,2,FRE,0,.000
5,0,39,130,WIL,0,.338
15,2,103,323,POT,2,.341
0,0,1,3,POT,0,.000
0,0,12,41,CAR,0,.366
10,1,107,413,CAR,6,.513
6,0,65,229,SAL,1,.424
0,0,1,1,POT,0,.000
2,0,39,132,WIL,2,.394
10,1,135,506,MB,8,.385
5,3,72,272,MB,3,.390
8,10,120,428,POT,2,.299
0,0,1,5,MB,0,.200
0,0,3,10,POT,0,.000
0,1,4,10,POT,0,.000
2,1,58,205,WS,3,.444
8,4,115,416,FRE,7,.291
10,0,103,383,WS,4,.384
10,0,81,291,SAL,3,.440
6,0,53,188,LYN,4,.420
2,6,45,165,LYN,5,.315
3,0,75,267,SAL,3,.476
1,0,74,280,LYN,3,.579
54,6,91,330,POT,2,.391
14,2,37,108,CAR,0,.259
7,5,123,438,LYN,4,.406
3,1,65,221,FRE,0,.421
0,1,4,12,SAL,0,.167
3,2,86,308,MB,6,.334
2,0,56,186,LYN,1,.392
4,3,88,297,WIL,8,.293
1,2,9,26,SAL,0,.192
13,2,127,483,POT,6,.385
27,2,100,377,MB,5,.454
2,1,120,431,WS,0,.415
0,1,34,112,WS,2,.429
4,3,24,84,WIL,0,.298
1,0,10,25,LYN,0,.080
2,0,38,115,FRE,1,.461
19,6,134,541,WS,4,.366
4,0,12,41,WS,0,.293
7,7,93,281,LYN,2,.310
0,0,10,34,WIL,0,.265
0,0,3,10,LYN,0,.200
8,1,120,455,FRE,1,.349
1,0,60,225,WIL,2,.418
43,4,106,415,FRE,2,.287
3,0,61,221,LYN,2,.371
12,3,74,237,POT,2,.401
0,0,1,0,SAL,0,--
0,0,4,11,POT,0,.273
5,0,65,244,CAR,2,.381
1,1,119,437,WIL,0,.348
0,0,121,434,CAR,8,.339
2,0,27,95,FRE,1,.411
7,1,103,376,SAL,3,.428
1,0,16,58,WIL,0,.259
0,0,6,19,WS,0,.211
0,1,16,45,LYN,0,.267
1,0,17,48,WIL,0,.271
1,0,21,76,CAR,0,.368
0,1,74,285,MB,4,.330
0,0,3,9,SAL,0,.000
0,0,14,52,CAR,0,.269
0,1,65,228,LYN,1,.386
0,0,6,18,POT,0,.944
