3B,AB,GIDP,2B,Team,SH,SF
0,54,1,3,AGS,0,1
0,136,1,7,TIG,4,1
0,18,0,1,AGS,0,0
0,4,0,0,TAB,0,0
2,404,10,33,LAG,1,6
1,326,10,15,TIG,6,2
1,106,1,4,MVA,2,0
3,362,13,22,CAM,9,2
0,4,0,0,MIN,0,0
2,220,2,9,MIN,5,1
0,3,0,0,MEX,0,0
0,4,0,0,LAG,2,0
0,127,5,7,VER,0,1
1,252,8,17,MIN,8,0
1,279,7,18,VER,3,4
0,223,6,19,OAX,4,2
0,289,9,17,MTY,0,2
0,188,2,10,MIN,5,3
1,164,4,9,TAB,4,0
0,79,0,6,TIG,1,0
1,422,10,24,MEX,1,5
1,235,4,9,MTY,6,2
0,25,1,0,AGS,0,0
1,46,0,1,MEX,2,0
0,12,0,0,MIN,0,0
3,355,4,18,TIG,8,1
0,1,0,0,CDC,0,0
0,176,8,4,CDC,5,1
0,108,5,7,MVA,0,1
0,33,1,1,MTY,1,0
4,367,9,18,PUE,9,2
1,28,1,0,PUE,0,0
3,357,23,25,PUE,2,10
1,188,3,8,MTY,6,1
2,200,2,6,CAM,7,0
0,149,8,3,TIG,2,0
0,179,3,15,PUE,2,1
0,166,5,8,MTY,4,3
0,55,0,5,TAB,1,1
0,347,6,9,MTY,2,2
1,313,11,14,TAB,12,1
1,25,1,0,TAB,2,0
0,24,1,0,CDC,0,0
1,437,12,31,OAX,14,4
1,45,0,1,VER,0,0
0,156,5,9,MVA,3,1
1,302,8,21,CAM,4,6
0,111,4,4,CAM,4,0
1,215,7,8,PUE,3,1
3,388,7,29,AGS,4,3
0,30,2,2,CAM,0,0
7,427,8,18,CDC,13,4
0,223,10,10,CDC,10,2
1,273,4,14,MEX,1,3
0,2,0,1,REY,0,0
0,0,0,0,MEX,0,0
0,152,5,10,MEX,1,1
0,344,7,12,YUC,1,5
1,188,1,6,SAL,11,2
1,231,7,5,REY,0,1
1,242,13,15,CAM,4,1
2,274,6,10,LAG,15,0
0,300,7,11,TIG,0,3
0,69,1,4,MEX,2,1
0,28,1,0,MVA,0,0
0,131,5,8,OAX,0,0
3,320,4,20,TIG,1,2
0,156,10,2,CAM,1,0
4,332,3,18,MIN,9,3
0,340,9,24,SAL,0,6
0,391,10,23,YUC,10,1
4,235,3,11,MTY,2,3
1,356,13,19,CDC,4,1
0,31,0,0,CAM,0,0
0,2,0,0,MTY,0,0
0,366,17,14,MVA,6,1
3,282,6,15,SAL,18,3
2,351,10,27,PUE,7,7
0,33,1,1,MVA,0,0
0,3,0,0,AGS,0,0
5,315,7,17,OAX,8,0
0,394,12,14,SAL,4,2
9,335,3,19,MEX,5,2
0,55,0,5,TIG,0,0
2,386,8,27,MEX,2,5
1,295,15,17,REY,0,3
0,111,2,7,CAM,2,0
0,92,1,2,MVA,0,0
1,82,2,3,MVA,2,0
0,42,2,3,PUE,0,1
6,374,13,15,MVA,10,2
0,0,0,0,TAB,0,0
4,290,3,8,MVA,0,1
1,71,1,3,TAB,2,0
0,3,0,0,LAG,0,0
4,202,4,8,YUC,5,2
0,37,5,0,VER,1,0
0,325,17,18,TAB,4,3
3,385,12,17,MIN,9,4
1,367,16,18,VER,5,6
0,244,1,11,CAM,4,3
0,98,5,5,PUE,1,3
3,351,4,8,MTY,17,4
0,99,1,1,VER,2,0
7,444,13,18,REY,7,0
0,4,0,0,TAB,0,0
1,236,3,12,TAB,0,4
1,319,11,17,MIN,4,3
1,331,6,10,TIG,0,6
0,26,1,0,CAM,0,0
0,181,5,11,AGS,0,1
0,296,9,16,AGS,1,2
1,95,3,4,REY,2,1
1,335,7,13,REY,11,5
2,345,15,14,MIN,5,2
0,16,2,0,MVA,0,0
0,61,1,2,YUC,0,0
1,185,6,14,LAG,0,3
0,8,0,0,VER,0,0
4,207,7,9,CDC,1,2
1,143,1,4,MIN,3,1
2,140,4,6,LAG,6,0
0,149,5,11,AGS,2,2
0,391,12,17,TAB,9,4
0,8,0,0,MIN,0,0
0,91,2,5,CAM,0,0
1,140,4,3,CAM,6,0
0,27,4,1,AGS,0,0
1,390,6,18,VER,0,0
0,271,6,13,OAX,9,2
0,106,6,3,AGS,1,2
0,138,7,4,PUE,3,3
2,431,11,27,MTY,0,3
0,48,1,0,CDC,1,0
0,327,14,28,MTY,12,3
1,340,4,19,VER,7,3
1,375,8,29,AGS,5,2
1,190,3,13,LAG,1,3
1,235,12,12,TAB,2,0
0,130,6,10,SAL,5,2
1,269,7,8,CAM,11,2
0,18,1,0,CAM,0,0
0,441,26,30,REY,3,4
1,350,10,28,AGS,6,3
0,79,0,2,CDC,3,0
1,57,0,3,MVA,1,0
1,40,0,1,VER,2,0
0,167,6,5,CAM,1,1
2,375,2,22,MVA,8,3
0,189,3,8,CAM,0,2
0,213,9,16,TIG,4,1
0,103,4,4,TAB,1,1
