MP,DRB%,STL%,ORB%,AST%,TOV%
23:00,17.9,0.0,7.6,6.4,14.7
11:00,8.2,0.0,0.0,26.7,66.7
12:00,30.8,0.0,0.0,0.0,29.1
21:00,16.7,2.3,5.1,8.7,9.8
9:00,0.0,5.6,0.0,13.0,33.3
14:00,14.9,3.1,8.4,11.2,36.8
9:00,10.5,0.0,0.0,0.0,33.3
5:00,0.0,0.0,22.9,0.0,100.0
15:00,13.6,0.0,12.1,0.0,20.5
1:00,0.0,0.0,0.0,0.0,0.0
13:00,10.0,3.9,0.0,0.0,34.7
12:00,16.3,0.0,0.0,0.0,42.9
25:00,28.2,2.1,12.3,0.0,9.3
12:00,23.5,0.0,0.0,0.0,31.6
9:00,10.7,0.0,10.3,14.2,0.0
13:00,45.2,0.0,8.8,26.7,0.0
15:00,14.9,0.0,0.0,10.7,13.1
10:00,10.7,0.0,0.0,0.0,0.0
14:00,16.7,0.0,0.0,0.0,33.3
14:00,17.1,0.0,49.0,10.2,0.0
3:00,0.0,0.0,0.0,0.0,66.7
12:00,19.0,0.0,20.0,0.0,53.2
3:00,0.0,0.0,0.0,0.0,0.0
10:00,20.4,0.0,13.3,10.4,33.3
11:00,0.0,0.0,0.0,0.0,38.1
7:00,15.9,0.0,0.0,19.0,100.0
8:00,13.6,0.0,22.2,0.0,25.8
1:00,0.0,0.0,0.0,0.0, 
9:00,56.7,5.7,11.9,0.0,50.0
12:00,24.6,0.0,0.0,18.6,50.0
12:00,18.2,0.0,0.0,0.0,25.0
9:00,29.6,0.0,0.0,0.0,0.0
19:00,20.5,0.0,4.7,0.0,10.6
5:00,0.0,0.0,0.0,0.0,0.0
