G,BB,OBP,2B,CS
12,2,.265,2,0
40,11,.355,7,0
2,0,.333,1,0
41,5,.287,1,0
25,7,.317,0,1
8,3,.370,3,0
49,21,.372,4,9
40,15,.310,4,0
24,16,.314,1,1
37,16,.298,5,4
51,28,.385,13,4
22,3,.195,1,0
43,5,.248,5,2
9,1,.343,2,1
49,9,.293,10,3
50,29,.354,6,1
1,0,.000,0,0
6,3,.360,1,0
37,16,.441,7,3
29,7,.226,2,0
6,2,.300,1,0
5,2,.300,3,0
26,8,.417,3,0
1,0,.000,0,0
34,15,.315,4,1
39,5,.270,4,0
38,24,.358,6,0
36,9,.252,9,1
36,11,.346,9,2
48,25,.339,6,0
12,3,.222,0,0
15,9,.423,1,2
3,2,.700,0,0
36,15,.363,7,3
22,9,.321,4,1
34,0,.217,3,0
25,4,.182,1,0
14,7,.316,1,0
5,1,.316,1,0
35,9,.290,5,3
20,1,.210,2,2
16,4,.250,1,0
19,9,.308,1,0
9,6,.410,4,0
7,0,.423,5,0
51,17,.301,7,2
43,7,.262,6,4
33,9,.296,5,1
24,28,.454,3,4
2,0,.000,0,0
1,1,1.000,0,0
57,18,.336,10,1
32,13,.386,5,3
34,10,.273,8,1
39,20,.384,9,1
27,4,.292,3,1
35,11,.375,4,4
22,9,.376,4,0
6,1,.211,1,0
45,12,.349,2,2
2,0,.286,1,0
27,5,.311,8,0
36,16,.421,5,1
14,4,.382,3,0
37,13,.280,1,4
17,2,.196,1,0
4,1,.167,0,0
5,4,.579,2,1
50,17,.350,9,1
27,6,.329,3,1
40,7,.265,5,1
40,14,.329,4,0
36,17,.377,5,4
4,1,.500,0,0
6,3,.320,0,1
22,7,.313,1,2
7,1,.382,5,0
41,3,.236,3,0
21,6,.314,2,1
5,2,.389,3,0
26,9,.333,4,0
38,14,.345,10,0
9,1,.355,1,0
30,3,.353,2,3
4,1,.385,1,0
43,3,.172,2,2
50,9,.307,11,2
21,3,.304,3,0
1,1,.400,0,0
37,16,.369,11,3
38,12,.357,6,5
54,13,.364,10,10
24,7,.287,3,1
14,0,.111,0,0
53,17,.341,14,1
23,15,.351,1,0
9,1,.222,2,0
9,0,.200,1,0
9,2,.438,0,0
1,1,.667,0,0
26,5,.321,5,1
45,11,.258,0,3
5,1,.136,0,0
54,29,.440,15,2
36,25,.442,6,2
10,1,.407,1,0
53,33,.378,10,5
8,2,.355,4,1
2,0,.375,2,0
10,2,.240,0,0
1,0,.000,0,0
4,0,.250,0,0
42,23,.372,8,0
30,11,.295,1,0
51,43,.357,9,7
35,19,.401,4,1
47,18,.357,7,5
47,17,.372,16,1
31,6,.350,4,0
21,8,.348,4,0
49,10,.364,8,0
27,12,.407,11,0
45,15,.344,13,2
27,12,.350,2,0
23,9,.341,3,0
47,19,.372,8,6
35,8,.257,3,1
1,0,.000,0,0
14,4,.364,2,0
39,13,.291,6,0
5,2,.188,0,1
24,11,.270,0,4
10,5,.463,1,3
15,5,.316,0,0
35,18,.421,4,2
22,4,.338,5,0
2,0,.200,0,0
17,9,.450,2,2
32,9,.303,6,0
32,12,.283,3,0
1,1,.667,1,0
1,0,--,0,0
43,17,.337,8,5
43,11,.288,4,1
27,16,.368,10,3
4,0,.286,2,0
3,1,.308,0,0
32,10,.286,3,1
6,5,.579,0,0
6,1,.375,0,0
48,12,.244,5,0
53,34,.389,5,5
25,4,.275,3,1
11,3,.400,4,0
5,1,.412,1,0
34,4,.252,4,1
33,12,.366,6,0
40,11,.321,7,2
28,13,.387,8,2
14,3,.346,1,0
34,9,.282,8,1
18,4,.288,3,3
38,13,.422,8,1
33,19,.382,3,2
4,2,.286,0,0
10,4,.267,0,1
13,3,.444,4,1
25,8,.321,1,0
