Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2012-03-28,OAK,SEA,L 1-3 vs SEA,3,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,"1st career game, 1st career hit"
2012-03-29,OAK,SEA,W 4-1 vs SEA,3,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,2,"1st career home run, 1st career RBI"
2012-04-11,OAK,KCA,W 5-4 vs KCA,4,2,2,1,0,0,0,1,0,1,1,1,0,0,0,0,7,1st career stolen base
2012-07-15,OAK,MIN,W 9-4 @MIN,5,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,57,4 hits
2012-07-20,OAK,NYA,W 3-2 vs NYA,5,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,61,4 hits
2013-04-29,OAK,ANA,W 10-8 vs ANA,8,1,1,0,0,0,1,0,0,1,4,0,0,0,0,0,416,4 strikeouts
2013-05-01,OAK,ANA,L 4-5 vs ANA,3,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,416,2 hit by pitches
2013-06-04,OAK,MIL,L 3-4 @MIL,5,2,3,0,0,2,3,0,0,0,1,0,0,0,0,0,416,2 home runs
2013-06-06,OAK,CHA,W 5-4 @CHA,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,416,2 home runs
2013-06-21,OAK,SEA,W 6-3 @SEA,4,2,2,0,0,2,4,0,0,0,1,0,0,0,0,0,416,2 home runs
2014-05-18,OAK,CLE,W 13-3 @CLE,5,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,418,5 RBIs
2014-05-31,OAK,ANA,W 11-3 vs ANA,5,2,3,1,1,1,5,0,0,0,0,0,0,0,0,0,418,5 RBIs
2014-06-04,OAK,NYA,W 7-4 @NYA,5,2,3,0,0,2,2,0,0,0,1,0,0,0,0,0,418,2 home runs
2014-07-10,OAK,SFN,W 6-1 @SFN,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,418,4 strikeouts
2014-07-23,OAK,HOU,W 9-7 vs HOU,4,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0,418,"2 home runs, 5 RBIs"
2014-09-05,BOS,TOR,W 9-8 vs TOR,6,1,4,1,0,0,2,1,0,0,1,0,0,0,0,0,418,4 hits
2015-04-19,DET,CHA,W 9-1 vs CHA,4,2,2,0,0,2,6,0,0,0,1,0,0,0,0,0,432,"2 home runs, 6 RBIs"
2015-07-04,DET,TOR,W 8-3 vs TOR,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,500,500th career game
