Rk,Tm,TRB%,eFG%,GmSc,DRB%,ORtg
50,IND,6.0, ,2.8,10.4,150
16,IND,23.5,.333,0.2,44.4,70
29,IND,9.0,.250,2.1,18.1,56
55,IND,32.1,.667,6.2,27.3,113
47,IND,0.0, ,0.0,0.0, 
21,IND,8.9,.000,2.6,15.7,49
31,IND,20.8, ,-0.4,45.7,0
8,IND,39.0, ,2.2,82.1,250
6,IND,0.0, ,-1.1,0.0,0
43,IND,13.8,.000,-0.4,30.8,0
42,IND,3.8,.250,-0.6,7.0,55
54,IND,41.4,.000,-0.8,53.3,33
30,IND,22.4,.667,0.8,42.0,68
24,IND,10.9,.750,3.8,12.5,152
49,IND,0.0, ,0.0,0.0, 
2,IND,9.4, ,-0.4,24.2,0
45,IND,7.5,.500,0.4,13.4,123
41,IND,5.9,.833,9.8,5.2,123
22,IND,16.6,.000,-0.7,25.2,37
