PF,FTM,3P%,DEF,Split
1.7,0.6,.000,1.7,Last 10 Games
2.2,1.2,.000,2.5,v. Opp. w/ Top 10 Record
0.8,1.2,.000,0.5,v. Northwest Divison
1.8,0.6,.000,2.6,Losses
0.5,0.0,.000,0.5,v. Southeast Division
1.3,0.3,.000,0.7,Last 10 Games
2.0,0.8,.000,2.3,Games in March
0.8,0.8,.000,0.6,v. Western Conference
1.0,0.0,.000,1.0,Games in April
0.9,0.2,.000,0.5,Wins
0.0,0.0,.000,2.0,v. Northwest Divison
0.9,0.6,.000,0.7,Games in February
1.4,0.1,.000,0.4,v. Eastern Conference
1.2,0.7,.000,1.2,v. Western Conference
1.9,0.7,.000,2.1,NBA Regular Season Stats
1.3,0.0,.000,1.0,v. Southwest Division
1.6,0.8,.000,1.4,After All-Star Break
0.9,0.5,.000,0.6,Limited Playing Time
0.0,0.0,.000,2.0,v. Opp. w/ Top 10 Defense
1.0,0.0,.000,1.2,v. Southwest Division
0.9,0.6,.000,0.4,v. Opp. w/ Bottom 10 Defense
2.4,0.6,.000,2.6,Last 5 Games
1.4,0.8,.000,1.4,v. Pacific Division
2.0,1.0,.000,1.0,Wins
1.0,0.5,.000,0.5,Limited Playing Time
-,-,-,-,Games As Starter
0.9,0.4,.000,0.5,Before All-Star Break
1.0,0.4,.000,0.8,v. Opp. w/ Bottom 10 Defense
2.6,1.0,.000,2.2,v. Pacific Division
1.3,0.0,.000,1.7,v. Opp. w/ Bottom 10 Defense
0.0,0.0,.000,2.0,v. Southwest Division
1.1,0.3,.000,0.5,Wins
1.0,0.5,.000,0.5,Games in March
1.0,0.1,.000,0.8,v. Opp. w/ Top 10 Defense
2.0,0.0,.000,0.3,v. Central Division
1.4,0.8,.000,1.3,Losses
1.2,0.8,.000,0.4,After All-Star Break
0.5,0.5,.000,1.2,Limited Playing Time
1.1,0.1,.000,0.6,v. Opp. w/ Top 10 Defense
