Age,GmSc,USG%,TOV%,STL%,Rk
35-339,1.7,10.8,0.0,0.0,34
35-333,1.4,21.6,50.0,0.0,32
35-307,-3.5,35.3,28.8,3.0,21
35-270,3.7,19.2,33.8,0.0,6
35-264,-2.5,16.3,33.3,0.0,2
35-303,3.8,9.3,25.8,0.0,19
35-327,-0.6,13.8,25.0,0.0,29
36-048,10.4,15.4,0.0,0.0,62
36-024,-0.3,10.9,0.0,0.0,52
35-277,1.8,5.9,0.0,10.6,9
36-001,2.9,9.5,0.0,0.0,45
36-053,-0.7,21.9,66.7,0.0,64
35-350,3.5,9.4,0.0,2.7,37
35-348,0.3,7.6,0.0,0.0,36
35-293,0.9,0.0, ,0.0,14
35-322,3.1,11.9,0.0,0.0,26
36-067,5.5,17.3,26.6,0.0,70
36-064,4.8,10.6,0.0,0.0,68
36-036,0.4,19.3,33.3,0.0,57
35-355,1.0,21.6,0.0,0.0,40
35-356,0.9,17.7,0.0,0.0,41
35-351,1.0,15.2,0.0,0.0,38
35-320,-1.0,13.6,100.0,0.0,25
36-019,0.3,5.9,0.0,0.0,50
36-027,-1.4,14.9,100.0,0.0,53
35-262,2.9,8.8,50.0,4.5,1
35-304,-0.1,0.0, ,0.0,20
