2B,POS,SO,SH,Team,AB,H,R
6,2B,24,5,SF,240,68,37
19,2B,58,4,CHC,580,178,85
0,2B,5,0,LAD,32,7,6
10,2B,38,2,NYM,316,85,33
13,2B,47,4,FLA,311,82,41
22,2B,115,1,MIL,475,111,89
0,2B,1,0,COL,4,0,0
5,2B,33,2,ARI,165,32,20
2,2B,17,1,COL,56,7,2
29,2B,62,3,ARI,407,124,54
12,2B,41,1,CHC,216,58,36
1,2B,3,0,MIL,14,2,1
9,2B,35,2,PHI,212,46,37
39,2B,113,9,ATL,547,157,86
2,2B,9,1,CIN,36,8,4
4,2B,10,0,SF,37,9,6
25,2B,69,4,COL,393,114,47
15,2B,75,1,PHI,310,72,29
0,2B,0,0,NYM,2,0,0
15,2B,37,5,STL,379,120,49
41,2B,104,1,PHI,607,177,113
3,2B,21,1,MIL,75,16,13
6,2B,46,0,WSH,169,41,29
3,2B,3,0,NYM,16,4,0
15,2B,30,0,HOU,261,73,27
22,2B,60,4,STL,540,163,87
17,2B,46,8,COL,210,50,28
0,2B,20,5,NYM,110,24,13
1,2B,3,0,SD,16,6,4
15,2B,76,0,SD,325,89,38
