H,CS,Player,AB
34,1,R Noris,136
18,1,M Delaney,101
8,0,B Webb,43
4,0,J Valdespin,23
12,1,L Escobar,53
8,0,D Garcia,36
7,0,C Holliday,40
32,2,G Mambell,144
43,2,K Mahoney,190
23,0,Y Rodriguez,84
18,1,L Marchena,68
49,0,A Odreman,195
18,0,H Perez,81
5,0,Y Gomes,14
23,8,M De La Cruz,112
28,0,K Vargas,109
12,0,D Hissey,53
1,0,O Tovar,4
49,1,D Anderson,181
2,0,M Ohlman,11
12,0,W Lin,33
34,1,F Martinez,153
32,0,O Dominguez,142
12,2,J Nunez,62
41,0,N Zaleski,147
0,0,F Perez,3
4,0,C Smith,44
38,9,G Ngoepe,160
19,0,G Pena,99
10,0,Y Gonzalez,48
3,0,J Sladek,16
11,0,G Ortiz,66
10,1,S Grimes,41
35,1,T Dayleg,130
5,1,K Wilson,25
1,0,Z Heathcott,10
8,0,S Guerrero,40
10,0,C Vazquez,36
31,2,A Nieto,136
29,1,E Soto,149
1,1,J Del Campo,15
54,1,L Hiller,197
15,0,D Vicioso,52
16,1,I Kang,81
41,4,C Hinojosa,127
4,1,R Garcia,26
6,0,C Kelly,28
33,2,K Teran,86
3,0,D Stewart,19
44,2,J Cruz,166
1,0,M Brady,29
36,6,J Garcia,168
24,3,C Lovett,104
3,0,M Weaver,22
35,4,H Pace,163
6,0,E Mejia,28
0,0,J Thompson,0
8,0,M Pimentel,26
36,0,L Bryan,106
35,2,G Gonzalez,155
19,2,M Alvarez,73
28,2,J Babrick,137
26,4,A Montilla,127
61,2,E Hernandez,207
37,7,E Cintron,161
54,1,K De Leon,201
36,5,J Sierra,107
27,0,K Hinze,103
39,4,K Roque,123
25,2,M McConnell,102
16,0,M Kramer,63
5,0,B Anderson,16
33,4,E Sosa,165
29,1,Y Tejeda,118
4,0,A Buchholz,16
39,1,L Castillo,178
21,2,R Ramos,83
13,1,A Segovia,69
9,0,F Hanvi,52
22,3,D Phillips,91
6,0,W Alvino,34
3,0,C Paulino,9
4,1,N Simon,17
7,1,D Peters,86
24,0,F Arcia,97
2,0,L Montanez,6
18,0,C Greene,63
35,1,E King,138
15,0,X Lopez,72
1,0,C Dunn,3
2,1,R Martinez,23
6,0,W Ramos,19
36,4,J Linger,132
0,0,N Bidois,7
3,0,A Coe,17
14,0,J Hage,45
1,0,D Young,6
15,0,R Martinez,50
13,0,D Lowery,50
14,0,K Moscatel,66
0,1,J Schoenfeld,14
5,0,J Lagares,24
1,0,J Owings,6
7,0,I Ochoa,16
20,2,A Walker,79
8,1,F Galvis,29
28,1,D Rivera,142
3,0,M Grudzielanek,9
15,1,A Valdez,54
12,0,M Moanaroa,44
6,0,E Thames,21
5,0,F Bynum,13
