Box Beam or Girders (Multiple),Channel Beam,Arch-Thru,Culvert,Frame (Except Culverts),Tee Beam,Mixed Types,Box Beam or Girders (Single or Spread),Truss-Deck
55,0,4,"6,358",49,610,0,10,11
15,2,4,236,239,85,0,1,5
357,0,0,582,40,44,0,30,2
823,990,6,"7,968",55,"2,268",0,"1,332",9
"1,247",10,22,"1,771",725,203,0,25,34
"43,675","13,119",395,"116,707","4,834","38,170",480,"6,812",845
102,0,1,199,28,5,0,8,2
17,0,0,1,22,5,0,3,0
13,22,0,166,12,566,2,2,12
124,1,8,"1,079",93,170,2,19,11
89,7,1,104,464,942,0,10,5
227,10,0,"5,301",2,"2,171",0,105,4
56,"1,939",7,"2,544",10,604,0,0,17
11,2,10,166,14,308,0,1,8
78,162,23,"3,232",23,"1,124",0,7,11
565,2,3,388,132,80,0,31,9
"1,980",1,17,"1,211",37,862,0,73,14
