PO,Rdrs/yr,Rtz,Rk,A
57,8,-1,148,0
62,27,1,55,5
7,33,-1,89,0
172,-10,-0,175,3
49,-47,-6,14,1
153,12,5,127,1
30,7,3,51,1
52,47,2,161,3
8,26,2,193,0
18,-13,-4,35,0
25,19,-2,86,1
14,0,2,16,0
247,-24,-8,157,6
203,-12,-7,80,2
116, ,0, ,3
88,-9,0,165,2
121,6,12,150,1
25,0,1,183,1
111,6,-4,133,6
112,9,3,135,2
7,22,-1,174,0
244,-26,-4,58,4
1,103,-1,141,0
158,-5,-18,57,5
3,71,-1,10,0
0,0,0,126,0
6,0,1,108,1
101,-11,5,69,1
21,-26,-1,54,0
13,-37,0,59,0
1,-1200,-0,105,0
380,6,19,104,9
81,-14,1,26,3
128,-15,7,116,0
0,0,0,159,0
366,-3,-9,151,4
93,7,-3,19,1
0,0, ,117,0
115,7,1,138,3
318,4,-1,189,5
147,25,8,185,9
90,13,4,85,3
85,8,-6,50,3
79,3,6,82,3
0,0,0,134,0
1,0,0,44,0
27,-14,-0,48,0
247,2,9,93,7
3,0,0,172,0
18,-26,-1,66,1
14,-46,-2,23,0
272,3,3,102,8
125,-6,-14,63,2
64,-0,1,163,1
217,-6,-13,76,2
5,28,-1,101,0
20,-35,1,140,0
354,-4,-13,192,6
351,12,22,28,12
296,-1,-1,149,6
101,20,3,36,1
273,18,5,169,19
9,28,-1,184,0
1,0,0,128,0
136,-3,-11,73,3
29,-1,3,39,0
60,-13,2,38,0
104,-4,2,49,3
327,17,2,71,19
137,-2,-4,106,2
0,0, ,191,0
314,11,7,37,4
296,0,14,95,7
11,-28,-1,154,0
162,-14,-9,18,2
295,2,-7,87,5
24,25,1,6,2
85,26,5,77,3
124,-3,-0,111,2
392,3,-8,160,11
115,-3,7,171,2
2,0,0,33,0
24,34,3,129,1
291,-15,-5,81,5
18,-52,-5,170,0
14,-45,-2,22,0
7,-55,-1,79,0
1,0,0,155,0
22,-14,-2,136,0
1,0,-0,113,0
261,0,-2,119,8
19,-2,2,99,0
38,-35,-4,122,2
211,-7,-13,187,9
27,9,-0,188,0
123,-3,0,112,2
197,10,12,96,5
173,18,-2,90,4
30,-7,-1,11,1
248,10,11,124,2
0,0,0,166,0
0,0,0,168,0
109,12,-2,158,5
9,45,1,74,1
28,-37,0,167,1
49,-1,1,83,1
246,-17,2,92,6
0,0,0,3,0
97,3,0,120,0
5,0,-0,65,0
242,10,-2,98,7
