Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,site id
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT03,0.0,0.0,46.1,1991.0,L,1.0,07/26/2009,AUTTLEND
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT03,0.0,2510.0,0.0,1991.0,L,1.0,07/26/2009,AUTTLEND
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT03,52.5,0.0,0.0,1991.0,L,1.0,07/26/2009,AUTTLEND
URBAN Alexander,AUT,M,09AUT03,52.5,2510.0,46.1,1991.0,L,1.0,07/26/2009,AUTTLEND
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT03,0.0,3110.0,0.0,1991.0,L,2.0,07/26/2009,AUTTLEND
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT03,55.5,0.0,0.0,1991.0,L,2.0,07/26/2009,AUTTLEND
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,0.0,0.0,45.3,1991.0,L,1.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,57.0,0.0,0.0,1991.0,L,1.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,0.0,0.0,47.2,1991.0,L,2.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,50.5,0.0,0.0,1991.0,L,2.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,0.0,0.0,47.7,1991.0,L,3.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09AUT02,50.5,0.0,0.0,1991.0,L,3.0,06/21/2009,AUTTWWUT
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,0.0,0.0,44.4,1991.0,R,1.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,0.0,3390.0,0.0,1991.0,R,1.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,51.5,0.0,0.0,1991.0,R,1.0,10/04/2009,ITA00003
URBAN Alexander,AUT,M,09ITA22,51.5,3390.0,44.4,1991.0,R,1.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,0.0,0.0,45.4,1991.0,R,2.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,0.0,3520.0,0.0,1991.0,R,2.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09ITA22,55.5,0.0,0.0,1991.0,R,2.0,10/04/2009,ITA00003
URBAN Alexander,AUT,M,09ITA22,55.5,3520.0,45.4,1991.0,R,2.0,10/04/2009,ITA00003
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09EAME02,0.0,0.0,50.9,1991.0,R,1.0,08/16/2009,NORSLA
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09EAME02,0.0,2370.0,0.0,1991.0,R,1.0,08/16/2009,NORSLA
 , , , , , , , , , , , 
URBAN Alexander,AUT,M,09EAME02,48.0,0.0,0.0,1991.0,R,1.0,08/16/2009,NORSLA
URBAN Alexander,AUT,M,09EAME02,48.0,2370.0,50.9,1991.0,R,1.0,08/16/2009,NORSLA
