Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Henry Ramos,Sal,124,17,33,6,3,4,19,0,5,14,29,0.266,0.34,0.46,0.8
Ryan Dent,PawPor,72,14,24,5,0,1,6,4,3,8,21,0.333,0.4,0.444,0.844
Deiner Lopez,LowGCL,50,8,15,2,2,0,6,2,2,4,14,0.3,0.375,0.42,0.795
Cody Koback,SalGre,118,13,37,5,2,0,13,3,2,4,22,0.314,0.364,0.39,0.754
Deven Marrero,PorSal,107,13,29,3,0,0,5,3,2,16,29,0.271,0.366,0.299,0.665
Keury De La Cruz,Sal,139,21,29,12,0,4,27,3,2,13,42,0.209,0.276,0.381,0.657
Jose Iglesias,Paw,33,3,6,0,0,1,4,2,2,4,5,0.182,0.27,0.273,0.543
Kendrick Perkins,GreLow,61,4,11,1,0,1,6,1,2,6,25,0.18,0.254,0.246,0.5
Joseph Monge,GCL,30,2,3,2,0,0,2,0,2,3,8,0.1,0.206,0.167,0.373
Luis Yovera,DSL,15,0,0,0,0,0,0,0,2,3,4,0.0,0.167,0.0,0.167
Mike Meyers,LowGCL,26,3,11,3,0,0,1,0,1,4,6,0.423,0.5,0.538,1.038
Garin Cecchini,PorSal,122,21,44,14,2,1,21,7,1,26,31,0.361,0.473,0.533,1.006
Mike Miller,Gre,13,2,4,3,0,0,2,1,1,2,2,0.308,0.438,0.538,0.976
Sean Coyle,3 Teams,61,12,15,5,1,4,13,2,1,8,30,0.246,0.342,0.557,0.9
Jackie Bradley Jr.,Paw,87,14,22,11,0,4,13,0,1,11,23,0.253,0.369,0.517,0.886
Blake Swihart,Sal,107,19,35,7,1,1,11,1,1,15,18,0.327,0.407,0.439,0.846
Cleuluis Rondon,Low,32,3,9,1,0,1,4,1,1,3,8,0.281,0.378,0.406,0.785
Javier Guerra,DSL,62,15,19,3,0,0,8,3,1,12,10,0.306,0.427,0.355,0.782
Travis Shaw,Por,126,14,29,5,1,5,8,1,1,28,38,0.23,0.37,0.405,0.775
Isaias Lucena,DSL,28,3,6,2,1,0,9,0,1,8,8,0.214,0.405,0.357,0.763
Jhon Nunez,DSL,61,15,18,1,2,0,8,6,1,6,4,0.295,0.377,0.377,0.754
Brandon Jacobs,PorSal,89,11,23,6,1,2,9,2,1,9,33,0.258,0.337,0.416,0.752
Shannon Wilkerson,Por,124,25,31,6,3,1,13,5,1,23,36,0.25,0.373,0.371,0.744
Matty Johnson,3 Teams,87,5,27,4,1,0,9,4,1,6,12,0.31,0.355,0.379,0.734
Wendell Rijo,LowGCL,46,6,12,2,1,0,4,3,1,8,11,0.261,0.382,0.348,0.73
