Date,Opponent,Score,hbp,sf,sh,tb,xbh,hdp,go,fo,go/fo,pa
Feb 8,King (Tenn.),"W, 18-1",-,-,-,7,2,-,-,2,-,5
Feb 8,King (Tenn.),"W, 7-0",-,-,-,0,0,-,2,1,2.00,4
Feb 9,King (Tenn.),"W, 6-5",-,-,-,1,0,-,-,3,-,5
Feb 16,#1 Tampa,"L, 12-6",-,-,-,-,-,-,-,-,-,-
Feb 16,#1 Tampa,"W, 13-5",-,-,-,2,1,-,-,1,-,4
Feb 17,#1 Tampa,"L, 13-0",-,-,-,1,0,-,1,1,1.00,3
Feb 18,West Ga.,"W, 10-9",-,-,-,1,0,-,-,3,-,5
Feb 22,Flagler,"W, 17-14",-,-,-,4,1,-,2,-,-,6
Feb 22,Flagler,"L, 12-2",-,-,-,0,0,-,1,2,0.50,3
Feb 23,Flagler,"W, 8-7",-,-,-,5,1,-,-,1,-,5
Feb 27,at West Ga.,"W, 17-1",-,-,-,3,1,-,2,-,-,5
Mar 1,#27 UNC Pembroke,"W, 9-6",-,-,-,3,0,-,1,-,-,5
Mar 1,#27 UNC Pembroke,"W, 12-6",-,-,-,1,0,1,1,1,1.00,5
Mar 2,#27 UNC Pembroke,"L, 9-8",-,-,-,5,2,-,-,1,-,5
Mar 4,Newberry,"W, 16-7",-,-,-,3,0,-,-,1,-,6
Mar 8,at Ga. Southwestern,"W, 8-6",-,-,-,5,0,-,-,-,-,6
Mar 9,at Ga. Southwestern,"W, 7-2",-,-,-,4,2,-,2,-,-,5
Mar 9,at Ga. Southwestern,"W, 9-4",-,-,-,2,1,-,1,-,-,5
Mar 13,at North Greenville,"W, 14-6",-,-,-,0,0,-,-,1,-,4
Mar 14,at Francis Marion,"W, 8-2",-,-,-,2,0,-,2,1,2.00,5
Mar 15,at Francis Marion,"W, 5-3",-,-,-,0,0,-,1,-,-,4
Mar 15,at Francis Marion,"W, 15-10",-,-,-,7,2,-,2,-,-,6
Mar 18,Emmanuel (Ga.), ,-,-,-,-,-,-,-,-,-,-
Mar 21,at GRU Augusta,"W, 4-3",-,-,-,1,0,-,1,2,0.50,5
Mar 22,at GRU Augusta,"L, 7-1",-,-,-,1,0,-,-,3,-,4
Mar 22,at GRU Augusta,"W, 6-2",-,-,-,1,0,-,-,3,-,4
Mar 25,Clark Atlanta,"W, 13-4",-,-,-,1,0,1,-,1,-,4
Mar 25,Clark Atlanta,"W, 17-0",-,-,-,2,1,-,-,2,-,3
Mar 30,at Carson-Newman,"W, 12-8",-,-,-,7,1,-,1,-,-,6
Mar 30,at Carson-Newman,"W, 9-3",-,-,-,0,0,-,-,-,-,2
Apr 2,at Erskine,"W, 18-7",-,-,-,6,2,-,-,1,-,6
Apr 4,#25 Columbus St.,"L, 8-7",-,-,-,3,1,-,1,1,1.00,5
Apr 5,#25 Columbus St.,"W, 12-5",-,-,-,4,1,-,-,1,-,5
Apr 5,#25 Columbus St.,"L, 11-9",-,1,-,0,0,-,-,1,-,5
Apr 8,at Newberry,"L, 8-2",-,-,-,0,0,-,3,-,-,4
Apr 11,at #3 Lander,"L, 11-10",-,-,-,5,1,-,-,-,-,6
Apr 12,at #3 Lander,"L, 10-5",-,-,-,6,1,-,-,1,-,5
Apr 13,at #3 Lander,"L, 7-6",-,-,-,6,1,-,1,-,-,5
Apr 16,Valdosta St.,"L, 15-8",1,-,-,1,0,-,1,1,1.00,5
Apr 20,Young Harris,"W, 8-6",-,-,-,3,1,-,1,2,0.50,5
Apr 21,Young Harris,"W, 10-6",-,2,-,0,0,-,1,3,0.33,5
Apr 21,Young Harris,"W, 10-4",-,-,-,8,2,-,-,3,-,5
Apr 24,Winston-Salem State,"W, 6-3",-,2,-,1,0,-,-,3,-,4
Apr 26,at Montevallo,"W, 23-3",-,-,-,1,0,-,1,-,-,5
Apr 26,at Montevallo,"W, 21-7",-,-,-,7,2,-,1,-,-,6
May 3,North Georgia,"W, 6-5",-,-,-,7,2,-,-,-,-,5
May 3,North Georgia,"L, 5-3",-,-,-,2,0,-,1,1,1.00,5
May 4,North Georgia,"L, 16-11",-,-,-,1,0,-,1,1,1.00,5
May 10,vs. UNC Pembroke,"W, 13-7",-,-,-,5,1,1,1,1,1.00,5
May 11,vs. Lander,"L, 10-9",-,-,-,2,1,-,-,-,-,5
May 15,vs. #2-seed Mount Olive,"W, 10-0",-,-,-,0,0,-,2,2,1.00,5
May 16,vs. Columbus St.,"L, 10-3",-,-,-,1,0,-,-,1,-,5
May 17,vs. No. 6-seed Catawba,"L, 5-0",-,-,-,2,0,-,1,1,1.00,4
