YEAR,AB,oppRPA+,VORP,G,oppOBP,GS,oppOPS
2013,810,106,25.4,33,0.317,33,0.721
2013,544,109,6.6,44,0.324,20,0.737
2013,546,108,-4.8,22,0.321,22,0.728
2013,736,109,0.2,32,0.321,32,0.729
2013,599,98,17.1,26,0.314,26,0.713
2013,293,105,5.1,17,0.318,14,0.725
2013,563,89,16.4,24,0.302,24,0.676
2013,563,107,12.3,34,0.321,23,0.728
2013,657,95,18.1,30,0.31,30,0.695
2013,579,107,0.0,27,0.32,25,0.731
2013,287,96,3.3,66,0.313,0,0.703
2013,523,104,14.4,23,0.318,23,0.716
2013,433,93,-0.4,20,0.308,20,0.686
2013,613,107,18.0,29,0.32,29,0.725
2013,682,104,21.2,32,0.317,32,0.716
2013,377,111,5.7,23,0.324,18,0.737
2013,742,94,33.2,31,0.309,31,0.688
2013,533,107,-8.0,24,0.322,24,0.727
2013,587,103,8.4,24,0.313,24,0.709
2013,838,103,41.6,34,0.316,34,0.711
2013,278,100,11.7,70,0.314,0,0.706
2013,734,94,7.9,31,0.307,31,0.695
2013,429,94,5.1,18,0.309,18,0.697
2013,619,100,23.2,29,0.315,29,0.703
2013,732,93,29.8,32,0.306,32,0.685
2013,562,109,3.1,47,0.321,17,0.729
2013,735,100,17.9,32,0.316,32,0.711
2013,813,108,20.1,33,0.322,33,0.731
2013,797,107,9.6,32,0.321,32,0.726
2013,451,93,-4.7,21,0.303,19,0.688
2013,364,103,8.5,18,0.314,18,0.706
2013,271,104,17.2,75,0.324,0,0.735
2013,692,94,9.3,30,0.31,30,0.697
2013,439,99,-0.4,20,0.314,19,0.706
2013,631,91,15.4,30,0.306,30,0.683
2013,586,107,9.3,24,0.321,24,0.729
2013,431,100,15.0,19,0.313,19,0.711
2013,338,97,6.7,15,0.31,15,0.699
2013,757,98,17.1,32,0.312,32,0.702
2013,545,105,-1.5,26,0.32,23,0.721
2013,646,92,37.2,26,0.307,26,0.687
2013,443,95,-1.3,20,0.31,20,0.7
2013,667,95,15.5,31,0.312,30,0.7
2013,380,97,9.0,17,0.314,17,0.701
2013,788,94,23.1,32,0.308,32,0.696
2013,567,103,-7.3,28,0.314,20,0.713
2013,473,107,6.3,23,0.321,23,0.73
2013,703,105,16.7,32,0.319,29,0.724
2013,298,96,10.2,55,0.312,0,0.7
2013,764,111,10.9,33,0.325,33,0.739
2013,523,111,13.3,23,0.325,20,0.741
2013,371,96,8.9,17,0.312,17,0.7
2013,370,103,0.9,17,0.315,17,0.712
2013,577,96,10.3,27,0.313,27,0.709
2013,476,96,9.8,21,0.311,21,0.698
2013,627,97,13.1,31,0.312,31,0.7
2013,743,98,13.3,32,0.314,32,0.709
2013,726,104,14.5,29,0.317,29,0.723
2013,584,106,-10.5,32,0.321,24,0.724
2013,603,91,2.1,26,0.304,26,0.683
2013,341,108,4.3,15,0.324,15,0.736
2013,857,105,26.0,34,0.32,34,0.721
2013,283,104,14.8,63,0.316,0,0.715
2013,292,94,0.1,34,0.309,8,0.686
2013,854,107,10.0,34,0.319,34,0.727
2013,271,107,7.0,76,0.318,0,0.722
2013,357,102,6.8,48,0.316,0,0.71
2013,405,103,0.1,18,0.318,18,0.716
2013,682,101,42.7,29,0.313,29,0.706
2013,767,110,26.2,32,0.323,32,0.741
2013,550,105,6.5,31,0.319,24,0.719
2013,822,97,25.4,33,0.312,33,0.706
2013,384,94,8.0,18,0.306,18,0.686
2013,432,98,-18.9,20,0.315,20,0.706
2013,452,108,11.8,34,0.322,15,0.728
2013,757,106,-2.7,32,0.319,32,0.725
2013,832,99,38.7,31,0.314,31,0.708
2013,318,97,-0.7,63,0.312,0,0.702
2013,665,106,-4.9,37,0.316,25,0.723
