Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11FIN001,0.0,990.0,0.0,1996.0,L,1.0,-17F,07/03/2011,1.0,FINKURIK
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11FIN001,27.0,0.0,0.0,1996.0,L,1.0,-17F,07/03/2011,1.0,FINKURIK
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11FIN001,0.0,870.0,0.0,1996.0,L,2.0,-17F,07/03/2011,1.0,FINKURIK
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11S138R,0.0,740.0,0.0,1996.0,L,1.0,IG,05/15/2011,1.0,USAS0320
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11S138R,24.5,0.0,0.0,1996.0,L,1.0,IG,05/15/2011,1.0,USAS0320
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11S138R,0.0,260.0,0.0,1996.0,L,2.0,IG,05/15/2011,1.0,USAS0320
 , , , , , , , , , , , , , 
LAMMI Mette,FIN,F,11S138R,27.0,0.0,0.0,1996.0,L,2.0,IG,05/15/2011,1.0,USAS0320
