Player,RBI,GIDP,2B,HR,CS,SF
J Padilla,12,3,9,1,2,1
J Garcia,3,1,3,0,1,0
R Pena,8,3,2,1,0,0
R Fuentes,7,2,3,0,1,1
E Quiles,1,2,1,1,0,0
R Cancel,10,2,5,0,2,2
E Rosario,20,1,9,4,0,1
J Ruiz,4,2,4,1,0,0
M Bianucci,8,0,4,1,0,0
J Jimenez,8,3,3,2,0,1
I Falu,16,3,8,1,5,3
D Thon,2,0,0,0,0,0
J Ortiz,5,3,1,3,1,0
Y Rivera,6,0,2,0,0,0
M Owings,0,1,0,0,0,0
H Ramos,4,3,11,1,1,1
C Corporan,7,1,4,2,0,2
R Castro,17,2,4,5,0,0
K Blanks,9,1,9,2,0,0
O Mercado,10,1,4,1,0,3
C Pettit,5,0,2,1,0,0
L Murton,4,2,3,1,0,0
C Garcia,1,0,0,0,0,1
L Mateo,15,3,7,1,0,3
J Fernandez,2,0,0,0,0,0
Y Molina,10,5,1,2,1,1
D Gonzalez,10,1,4,0,1,0
A Estades,0,0,0,0,1,0
R Navarro,18,2,8,0,1,0
J Castro,2,1,2,1,2,0
M Abreu,9,5,3,0,4,0
O Martinez,6,4,7,0,0,1
H Velazquez,4,2,3,0,1,2
B Maldonado,18,2,7,2,0,3
M Maldonado,18,6,5,2,2,3
A Sanchez,12,2,6,2,2,2
J Centeno,7,4,2,1,0,1
A Garcia,26,6,9,6,2,4
G Valentin,10,0,5,0,1,1
S Miranda,17,6,4,2,2,0
B Gonzalez,3,0,1,0,1,0
B Snyder,5,0,2,1,0,1
J Rivera,0,0,0,0,1,0
C Otero,0,0,0,0,0,0
L Rivera,18,4,11,2,0,0
R Abercrombie,11,2,0,5,2,1
