Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Mar 13,at Eastern Nazarene,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 13,at Eastern Nazarene,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Amherst,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Western New Eng.,"L, 14-1",0,0,0,2.0,7,6,4,18.00,0,4,-
Mar 19,vs. Trinity (Conn.),"L, 6-0",-,-,-,-,-,-,-,-,-,-,-
Mar 19,vs. Trinity (Conn.),"L, 15-5",-,-,-,-,-,-,-,-,-,-,-
Mar 20,vs. St. Olaf,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Sewanee,"L, 11-10",0,0,0,3.1,2,1,1,2.70,5,2,-
Mar 21,vs. Union (N.Y.),"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Elmhurst,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 24,Colby-Sawyer,"W, 6-0",-,-,-,-,-,-,-,-,-,-,-
Mar 24,Colby-Sawyer,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 27,at Johnson & Wales (RI),"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Plymouth St.,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Plymouth St.,"L, 12-6",0,0,0,2.0,1,0,0,0.00,3,2,-
Apr 1,Brandeis,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at Bridgewater St.,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 3,Newbury,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Worcester St.,"L, 19-4",0,0,0,2.1,5,2,2,7.71,0,2,-
Apr 7,Southern Me.,"L, 14-6",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Southern Me.,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at Brandeis,"L, 14-13",0,0,0,1.2,5,6,2,10.80,1,0,-
Apr 10,Rhode Island Col.,"L, 8-3",-,-,-,-,-,-,-,-,-,-,-
Apr 11,Salve Regina,"W, 17-6",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Mass.-Boston,"L, 16-6",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Mass.-Boston,"W, 11-4",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at Tufts,"L, 4-0",0,1,0,5.2,6,4,3,4.76,2,2,-
Apr 16,at Tufts,"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Rhode Island Col.,"L, 13-3",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Bridgewater St.,"L, 15-3",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Western Conn. St.,"L, 18-0",0,0,0,0.1,1,0,0,0.00,0,0,-
Apr 21,at Western Conn. St.,"W, 19-7",-,-,-,-,-,-,-,-,-,-,-
Apr 26,at Roger Williams,"L, 13-8",0,0,0,1.2,3,1,1,5.40,0,0,-
Apr 28,Eastern Conn. St.,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 28,Eastern Conn. St.,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
May 4,at Keene St.,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
May 4,at Keene St.,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
