Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,TD
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,1,1972-09-04,"Hipólito (CUB) 5, Majewski (POL) 2",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,2,1972-09-04,"Pawłowski (POL) 5, Hipólito (CUB) 4",4.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,1,1972-09-04,"Hipólito (CUB) 5, Grzegorek (POL) 0",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,2,1972-09-04,"Kawecki (POL) 5, Hipólito (CUB) 2",2.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,1,1972-09-04,"Hipólito (CUB) 5, Convents (FRG) 3",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,2,1972-09-04,"Duschner (FRG) 5, Hipólito (CUB) 4",4.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,1,1972-09-04,"Hipólito (CUB) 5, Wellmann (FRG) 1",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Final Pool,Bout for 5/6,2,1972-09-04,"Wischeidt (FRG) 5, Hipólito (CUB) 1",1.0
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,2,1972-09-03, , 
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,2,1972-09-03,"HUN 9, CUB 2", 
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,2,1972-09-03,"Gerevich (HUN) 5, Hipólito (CUB) 3",3.0
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,NC,1972-09-03,"Bakonyi (HUN) Not contested, Hipólito (CUB) Not contested", 
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,2,1972-09-03,"Marót (HUN) 5, Hipólito (CUB) 2",2.0
1972 Summer,20,München,Fencing,Cuba,CUB,Quarter-Finals,Pool One,1,1972-09-03,"Hipólito (CUB) 5, Kovács (HUN) 3",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Barrage Pool for 5-8, ,2,1972-09-04, , 
1972 Summer,20,München,Fencing,Cuba,CUB,Barrage Pool for 5-8,Team Bout A,2,1972-09-04,"POL 9, CUB 5", 
1972 Summer,20,München,Fencing,Cuba,CUB,Barrage Pool for 5-8,Team Bout C,1,1972-09-04,"CUB 9, FRG 6", 
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,2,1972-09-03, , 
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,1,1972-09-03,"CUB 9, USA 7", 
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,2,1972-09-03,"Apostol (USA) 5, Hipólito (CUB) 1",1.0
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,1,1972-09-03,"Hipólito (CUB) 5, Dow (USA) 1",5.0
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,2,1972-09-03,"Morales (USA) 5, Hipólito (CUB) 3",3.0
1972 Summer,20,München,Fencing,Cuba,CUB,Round One,Pool Two,1,1972-09-03,"Hipólito (CUB) 5, Orban (USA) 3",5.0
