SH,CS,GIDP,AB,BB,SF,SB,R,AVG,Team
0,0,0,5,0,0,0,2,0.4,PIR
2,0,1,91,7,2,2,12,0.275,PHL
0,1,1,53,2,1,1,6,0.151,RSX
1,3,2,145,16,2,17,28,0.269,BRA
0,1,1,49,8,0,2,8,0.184,MTS
1,1,0,43,5,0,2,5,0.14,RSX
0,0,0,6,0,0,0,0,0.167,PIR
0,0,0,15,4,0,0,3,0.333,TIG
0,0,1,53,9,0,0,10,0.34,MTS
0,0,2,78,12,3,0,9,0.256,MRL
0,0,1,3,0,0,0,0,0.0,BLU
3,5,4,177,26,3,3,36,0.266,ORI
1,10,2,179,7,1,19,22,0.291,RSX
0,1,1,56,5,2,2,13,0.429,YAN
0,0,0,17,1,0,0,2,0.118,TIG
0,1,0,7,0,0,0,0,0.286,NAT
0,0,0,4,0,0,1,0,0.5,RSX
0,4,3,88,9,1,4,8,0.239,CAR
1,2,4,158,12,1,2,19,0.253,CAR
1,0,0,10,2,1,0,2,0.3,BLU
0,1,2,58,11,1,5,9,0.276,PHL
1,1,1,31,2,1,0,2,0.226,MTS
0,0,1,25,2,0,2,4,0.2,BRA
6,0,2,149,20,2,11,28,0.242,MRL
1,1,4,144,6,2,6,18,0.243,AST
1,0,4,117,12,0,1,14,0.282,RSX
0,3,1,91,12,1,8,16,0.22,CAR
5,3,0,88,10,1,5,10,0.273,NAT
4,3,6,171,13,0,3,19,0.24,MTS
3,0,1,64,11,1,5,11,0.188,NAT
0,0,1,45,1,1,1,4,0.244,MTS
3,0,5,152,23,4,4,21,0.289,CAR
1,0,0,43,2,2,0,6,0.279,BLU
5,2,3,109,6,0,6,9,0.183,ORI
1,2,3,107,6,0,3,10,0.215,MTS
2,2,0,84,7,0,1,8,0.214,TWI
0,1,0,129,14,0,12,26,0.209,BRA
0,0,1,146,3,1,2,15,0.329,AST
0,0,0,5,1,0,0,0,0.0,MRL
2,2,1,121,23,0,6,23,0.223,BLU
0,0,0,10,1,0,0,0,0.1,RSX
0,1,0,20,1,0,3,3,0.5,YAN
2,5,3,165,10,0,7,17,0.285,PHL
3,4,2,106,17,0,1,13,0.245,TWI
2,1,1,109,4,1,8,11,0.211,NAT
1,3,2,86,9,1,1,12,0.186,PIR
1,1,1,42,0,0,1,2,0.143,TWI
0,3,3,80,15,0,2,13,0.2,BRA
2,4,4,172,15,1,6,21,0.25,TWI
1,1,0,97,11,0,8,20,0.299,PIR
6,1,1,194,16,1,15,44,0.268,PIR
1,3,1,100,8,1,3,10,0.22,RSX
11,8,1,180,15,2,13,30,0.3,MRL
