Channel Beam,Truss-Thru,Segmental Box Girder,Movable-Lift,Suspension,Tee Beam,Arch-Deck,Tunnel,Mixed Types,Other,Movable-Bascule
1,7,0,0,2,10,33,0,0,1,0
"1,045",62,0,1,0,106,11,1,0,50,0
7,417,1,22,18,100,420,1,2,32,26
0,7,0,0,0,165,21,0,0,0,0
9,115,0,0,0,54,4,0,1,1,0
0,54,1,0,1,396,18,0,0,0,0
3,105,2,2,0,3,41,0,0,0,0
0,10,0,0,0,62,5,0,0,1,0
0,70,1,0,1,227,44,0,0,18,11
105,"1,043",0,0,3,175,46,1,0,14,0
2,132,0,6,2,38,130,1,0,6,25
2,67,1,0,2,87,106,0,0,50,11
2,19,2,1,0,69,94,0,0,1,4
80,169,4,0,4,86,339,0,0,15,0
172,248,0,4,2,163,48,3,0,225,41
0,42,0,0,0,77,1,0,0,15,0
23,589,0,1,10,"1,386",667,1,0,89,3
0,648,0,0,0,95,81,0,0,15,0
0,8,0,1,0,136,17,0,0,0,0
0,5,0,0,1,1,10,0,0,0,8
0,60,0,2,0,35,32,0,0,15,2
1,554,0,0,0,207,120,0,0,30,0
71,158,0,0,0,93,7,0,0,0,0
1,209,0,1,3,348,38,0,0,452,1
168,403,5,0,0,47,305,0,0,82,0
0,3,3,0,0,11,2,0,0,0,0
3,49,0,0,0,122,1,0,0,3,0
251,35,0,1,0,466,29,0,0,0,4
0,51,0,8,3,105,11,0,0,0,0
32,37,0,20,0,237,5,3,0,3,5
