Arch-Deck,Movable-Swing,Movable-Bascule,Slab,Orthotropic,Tunnel,Segmental Box Girder,Girder & Floorbeam System,Stayed Girder,Arch-Thru
22799.76,0.0,0.0,10673.21,0.0,0.0,2941.43,38802.09,0.0,1210.6
156189.2,0.0,13495.13,17926.18,0.0,0.0,0.0,357432.06,0.0,13824.53
1648.9,0.0,0.0,2923.4,0.0,0.0,0.0,1626.43,0.0,1155.2
21376.64,0.0,0.0,53090.42,0.0,0.0,0.0,45427.15,0.0,0.0
29828.31,2261.24,13172.81,52795.67,0.0,0.0,25234.44,9108.28,0.0,1100.58
2405.46,0.0,0.0,17322.52,11643.19,0.0,0.0,12571.16,0.0,27031.97
1515.23,0.0,0.0,935.52,0.0,0.0,0.0,503.26,4398.75,0.0
33911.24,6172.11,9180.96,78460.25,102.51,0.0,0.0,3512.37,0.0,0.0
1081.17,0.0,0.0,14171.74,0.0,0.0,0.0,288.91,0.0,0.0
10564.46,7424.8,0.0,57026.31,0.0,0.0,0.0,31383.9,0.0,0.0
6147.24,0.0,0.0,116584.4,0.0,0.0,0.0,45826.83,0.0,308.77
12873.93,0.0,8427.45,77793.35,0.0,0.0,0.0,15437.04,0.0,0.0
729.78,10470.0,29465.26,27136.89,0.0,0.0,0.0,32689.04,0.0,0.0
12253.28,26757.69,3870.72,11924.52,0.0,0.0,0.0,33628.22,0.0,104.82
367.4,0.0,0.0,1702.04,0.0,0.0,0.0,6293.54,0.0,0.0
12407.89,17483.39,64611.11,22304.71,0.0,0.0,0.0,226821.73,0.0,0.0
1239.87,0.0,0.0,1983.47,0.0,0.0,0.0,57.12,0.0,0.0
1553.2,0.0,0.0,12154.77,0.0,0.0,0.0,3955.23,0.0,0.0
2803.13,0.0,2253.41,1401.01,0.0,0.0,0.0,19823.77,0.0,1037.24
