TRB%,GmSc,G,TS%,GS,USG%,Opp,STL%
14.5,2.2,10,.460,1,12.7,ATL,0.0
15.4,6.0,54,.515,1,17.3,ATL,0.0
17.0,2.2,65,.284,0,3.7,NYK,0.0
18.1,4.5,36,1.136,0,2.6,HOU,0.0
12.3,0.2,31,.500,0,12.7,CLE,0.0
8.6,7.6,32,1.000,0,3.0,ATL,1.8
8.4,3.6,29,.694,0,17.0,PHI,0.0
38.6,2.7,27,.500,0,27.3,SAC,0.0
13.7,7.8,30,.608,0,15.4,NJN,2.7
12.4,5.2,9,.500,1,16.1,IND,2.7
15.4,8.0,21,.400,1,10.6,POR,1.8
5.3,3.8,57,.694,1,9.4,DAL,2.2
19.4,11.4,69,.781,1,11.7,ATL,2.3
12.6,3.9,37,.333,0,11.4,DEN,3.3
20.6,6.4,48,.129,1,7.4,SAS,2.4
24.9,0.6,26, ,0,8.4,MIL,0.0
15.1,11.2,39,.840,1,8.6,SAC,1.9
10.5,10.9,49,.750,1,4.9,CHI,2.9
10.6,12.5,45,.799,1,10.2,PHO,2.9
20.5,3.9,18,.512,1,15.7,CHI,0.0
3.2,0.4,62,.500,1,4.5,NYK,0.0
11.6,4.6,15,1.000,1,4.4,NJN,4.7
12.1,10.2,63,.846,1,10.0,ATL,0.0
21.2,5.6,38,.255,1,7.1,LAL,1.5
26.2,0.5,60,.333,1,9.0,CLE,0.0
14.5,7.9,68,.500,1,5.8,DET,1.8
11.6,0.1,8,.000,1,8.3,DET,0.0
15.0,1.7,5,.347,0,10.7,SEA,4.7
19.0,-0.8,24,.000,0,13.8,BOS,0.0
12.9,0.6,28, ,0,0.0,GSW,0.0
11.2,1.8,6,.000,1,3.9,UTA,0.0
10.3,2.0,46,.129,1,8.8,UTA,2.4
11.8,4.2,42,.333,1,6.5,IND,2.7
0.0,1.1,66, ,1,0.0,BOS,6.7
