Name,a/s,s,tot
B Ruffer,7.26,133,38
T Whitmore,5.03,119,27
M Dreyer,5.63,117,22
M Keller,0.3,97,11
M Huffer,0.04,113,72
E Young,0.05,110,20
C Hesterman,0.18,88,0
A Shepard,0.06,134,52
S Jensen,3.85,117,37
J Finke,0.08,110,67
M Hartman,0.16,116,0
M Murphy,3.73,85,22
M Bowers,0.06,127,53
J Wilgenbusch,0.11,117,61
H Vanarsdall,0.06,120,38
E Hoffmann,0.74,115,0
A Brown,0.26,119,3
K Settle,0.05,110,67
M Krier,0.12,128,0
N Sherpensky,0.04,119,143
E Beyer,0.52,125,0
S Jonas,10.17,105,11
M Sizemore,0.14,102,27
K Justus,0.23,115,0
M Lovern,0.03,123,77
R Hasewinkel,0.14,112,26
M Wieneke,0.17,110,0
K Dangel,0.31,117,0
