oppRPA+,VORP,oppSLG,oppOPS,G,SLG,OBP
107,-11.9,0.407,0.728,36,0.453,0.382
103,8.5,0.392,0.706,18,0.401,0.333
97,-0.7,0.389,0.702,63,0.336,0.288
107,4.3,0.406,0.727,33,0.448,0.336
106,-10.5,0.404,0.724,32,0.461,0.336
101,42.7,0.393,0.706,29,0.33,0.286
98,10.2,0.392,0.705,51,0.349,0.322
95,15.5,0.388,0.7,31,0.454,0.306
107,25.0,0.405,0.725,33,0.395,0.3
97,15.1,0.4,0.716,16,0.366,0.303
106,25.4,0.404,0.721,33,0.399,0.313
95,16.2,0.392,0.702,32,0.423,0.315
111,5.7,0.413,0.737,23,0.366,0.312
91,23.7,0.377,0.683,32,0.375,0.279
91,21.2,0.381,0.685,33,0.421,0.308
96,8.3,0.385,0.694,30,0.35,0.336
103,8.4,0.397,0.709,24,0.426,0.332
111,10.9,0.414,0.739,33,0.427,0.303
94,11.6,0.383,0.692,31,0.346,0.324
103,16.7,0.398,0.713,16,0.277,0.27
106,-2.7,0.406,0.725,32,0.408,0.28
100,15.0,0.398,0.711,19,0.336,0.302
92,16.6,0.379,0.685,30,0.42,0.331
100,11.7,0.392,0.706,70,0.291,0.295
98,31.9,0.395,0.71,28,0.265,0.257
105,5.7,0.402,0.723,68,0.357,0.26
98,13.3,0.396,0.709,32,0.389,0.322
94,21.8,0.388,0.699,30,0.335,0.304
109,6.6,0.413,0.737,44,0.461,0.338
104,17.2,0.411,0.735,75,0.273,0.236
111,10.4,0.417,0.742,22,0.353,0.291
100,17.9,0.396,0.711,32,0.351,0.292
92,19.2,0.378,0.685,32,0.398,0.307
106,5.3,0.407,0.725,32,0.435,0.339
94,21.0,0.382,0.691,30,0.361,0.299
93,-0.4,0.378,0.686,20,0.344,0.339
108,3.5,0.405,0.727,34,0.428,0.338
106,18.3,0.409,0.727,30,0.411,0.321
93,21.7,0.382,0.689,30,0.398,0.302
111,17.8,0.418,0.742,21,0.415,0.339
96,6.9,0.393,0.708,35,0.326,0.301
103,0.9,0.396,0.712,17,0.516,0.366
99,4.9,0.395,0.712,43,0.388,0.31
112,-2.5,0.415,0.74,22,0.516,0.367
97,8.4,0.393,0.701,37,0.367,0.326
97,20.1,0.393,0.702,31,0.371,0.299
106,0.2,0.404,0.721,32,0.507,0.365
96,8.9,0.388,0.7,17,0.369,0.327
103,27.5,0.399,0.713,33,0.361,0.322
107,18.0,0.405,0.725,29,0.431,0.358
105,24.8,0.404,0.722,30,0.369,0.29
91,12.1,0.382,0.684,23,0.368,0.281
103,43.5,0.399,0.714,32,0.329,0.254
96,3.3,0.39,0.703,66,0.387,0.308
106,7.3,0.403,0.72,20,0.407,0.321
108,8.1,0.407,0.727,30,0.492,0.34
104,7.0,0.401,0.72,31,0.462,0.337
94,9.3,0.387,0.697,30,0.389,0.289
107,32.5,0.407,0.728,31,0.357,0.286
106,15.2,0.404,0.724,32,0.425,0.348
92,20.8,0.38,0.687,32,0.382,0.275
103,41.6,0.396,0.711,34,0.376,0.315
107,36.9,0.402,0.724,30,0.354,0.282
105,5.1,0.407,0.725,17,0.451,0.307
95,5.1,0.389,0.699,22,0.432,0.327
97,2.4,0.389,0.702,21,0.454,0.344
98,-0.9,0.397,0.709,33,0.414,0.287
94,30.9,0.391,0.702,28,0.355,0.291
108,-5.4,0.404,0.727,30,0.519,0.372
108,1.3,0.41,0.731,32,0.445,0.326
95,8.6,0.389,0.696,20,0.481,0.327
97,15.1,0.388,0.7,31,0.395,0.325
106,26.3,0.408,0.726,33,0.389,0.314
100,23.2,0.388,0.703,29,0.418,0.316
102,12.5,0.392,0.706,70,0.351,0.308
107,10.0,0.408,0.727,34,0.422,0.306
99,6.8,0.396,0.71,30,0.336,0.305
107,6.3,0.409,0.73,23,0.368,0.292
94,17.7,0.389,0.698,31,0.351,0.288
94,33.2,0.379,0.688,31,0.375,0.31
110,26.2,0.418,0.741,32,0.392,0.291
108,11.8,0.406,0.728,34,0.381,0.294
107,9.3,0.408,0.729,24,0.382,0.289
94,15.0,0.387,0.695,21,0.363,0.299
94,0.1,0.377,0.686,34,0.325,0.292
103,10.2,0.402,0.719,27,0.343,0.312
93,26.2,0.386,0.694,31,0.307,0.27
90,35.4,0.374,0.678,33,0.404,0.295
97,45.3,0.392,0.703,34,0.356,0.28
93,54.0,0.384,0.693,33,0.277,0.244
108,20.1,0.409,0.731,33,0.371,0.258
94,3.8,0.386,0.694,31,0.436,0.339
95,5.8,0.388,0.696,24,0.45,0.33
95,18.1,0.385,0.695,30,0.307,0.281
