Rbaser,RAR,Rdp,Acquired,Rpos,Rrep,RAA,G,Age,Rfield
1,5,0,Free Agency,-2,8,-3,104,35,1
-0,6,0,Amateur Draft,10,0,6,33,25,0
0,0,0,Waivers,0,0,0,2,26,0
-0,0,0,Free Agency,9,0,0,33,34,0
0,-0,0,Amateur Draft,0,0,-0,1,25,0
-1,33,-1,Amateur Draft,-5,17,16,130,29,-1
0,0,0,Free Agency,0,0,0,52,38,0
0,0,0,Free Agency,0,0,0,14,32,0
-0,-3,-0,Amateur Draft,-0,1,-4,10,25,1
0,0,0,Free Agency,-0,1,-1,16,28,0
0,1,0,Traded,8,0,1,29,27,0
-0,2,0,Waivers,2,0,2,43,27,0
1,12,0,Traded,1,4,8,45,35,6
1,20,1,Traded,1,8,12,94,25,15
-1,0,-0,Free Agency,8,0,0,30,29,0
0,-0,0,Free Agency,0,0,-0,3,24,0
0,0,0,Free Agency,0,0,0,72,29,0
4,75,1,Amateur Draft,-6,20,55,150,27,3
0,0,0,Amateur Draft,0,0,0,9,26,0
0,1,0,Waivers,1,3,-1,54,30,-1
0,259,0, ,54,179,80,2292,28.7,12
0,-1,0,Purchased,0,0,-1,2,28,0
0,-0,0,Free Agency,0,0,-0,9,26,0
-0,-1,-0,Purchased,0,2,-2,16,31,1
1,-3,-1,Traded,7,18,-21,152,29,-7
0,1,0,Traded,0,0,1,31,29,0
