STL%,Rk,DRB%,eFG%,TS%,ORB%,BLK%
0.0,55,0.0,.500,.500,0.0,0.0
4.7,14,10.7,.000,.000,0.0,0.0
0.0,27,0.0,.625,.625,9.7,0.0
0.0,28,0.0,.500,.500,0.0,12.7
0.0,36,27.9,.500,.512,0.0,0.0
0.0,10,64.9,1.000,1.000,0.0,0.0
0.0,41,0.0,.333,.333,0.0,0.0
0.0,20,0.0,.500,.500,0.0,0.0
0.0,26,0.0, , ,0.0,0.0
0.0,48,12.7,.000,.170,29.6,0.0
0.0,34,10.0,.500,.500,0.0,0.0
0.0,47,30.5,.500,.500,0.0,0.0
6.0,22,12.4,.500,.500,26.7,0.0
2.3,37,33.2,.444,.455,6.3,0.0
0.0,15,44.2, , ,0.0,0.0
0.0,49,14.5,.750,.750,5.3,0.0
0.0,12,0.0,.000,.000,0.0,0.0
0.0,57,0.0,.333,.333,0.0,0.0
5.2,16,18.0,.000,.000,10.3,0.0
0.0,3,0.0,.667,.667,0.0,0.0
0.0,42,12.2,.667,.667,20.0,10.2
6.8,19,27.4,.800,.800,0.0,9.0
0.0,32,28.6,.000,.000,0.0,0.0
0.0,23,0.0,.000,.000,0.0,30.8
0.0,6,13.6,.500,.500,0.0,0.0
0.0,44,15.6,.333,.333,0.0,0.0
2.9,35,22.0,.333,.333,0.0,0.0
0.0,30,11.2,.375,.375,0.0,0.0
0.0,56,25.0, , ,0.0,0.0
