OBP,Age,GB%,PA,Tm,OFB%,LD%,G
0.36,24.33,52.9%,242,PMB,23.2%,18.7%,58
0.256,21.0,51.3%,245,FTM,25.9%,6.7%,60
0.35,22.08,59.7%,263,PMB,18.3%,9.1%,59
0.332,21.83,47.3%,215,BRV,19.4%,17.6%,60
0.288,22.75,36.9%,233,CLR,36.9%,16.6%,58
0.348,24.83,35.7%,207,PMB,27.9%,24.8%,48
0.327,25.5,46.0%,208,FTM,30.9%,15.8%,49
0.31,21.75,46.3%,257,CLR,28.1%,18.2%,58
0.309,25.67,34.9%,218,LAK,44.1%,11.2%,53
0.39,23.5,46.8%,216,TAM,28.6%,19.5%,49
0.339,21.92,29.0%,283,BRV,39.0%,17.0%,65
0.225,20.92,47.9%,209,PMB,29.3%,15.6%,52
0.354,20.08,44.6%,258,BRD,29.7%,16.9%,54
0.356,19.67,41.5%,247,CHA,35.0%,14.8%,58
0.368,24.5,44.0%,251,BRV,33.7%,17.7%,64
0.34,23.58,47.4%,265,CLR,30.1%,14.5%,59
0.325,24.75,35.3%,252,STL,28.9%,16.8%,57
0.249,21.75,52.5%,227,BRV,20.4%,12.7%,62
0.329,20.0,48.2%,225,STL,28.0%,20.2%,54
0.304,21.83,65.6%,212,DAY,16.0%,11.0%,59
0.324,23.08,48.6%,288,BRD,25.1%,17.5%,63
0.306,23.17,44.3%,255,JUP,29.1%,20.2%,62
0.308,22.08,41.4%,266,JUP,28.8%,19.4%,65
0.256,24.67,38.7%,219,LAK,44.4%,9.9%,55
0.335,20.58,55.3%,257,TAM,18.4%,17.4%,59
0.285,24.33,57.9%,253,JUP,15.7%,13.7%,64
0.329,23.33,38.1%,240,FTM,30.6%,21.1%,52
0.35,22.25,40.0%,206,STL,40.0%,11.9%,46
0.254,20.5,47.8%,241,DUN,31.2%,12.4%,58
0.306,26.17,46.2%,269,LAK,31.3%,15.4%,59
0.324,21.42,44.0%,215,BRD,28.9%,15.7%,53
0.315,23.58,25.3%,276,DAY,41.9%,22.2%,65
0.279,22.17,47.7%,246,DAY,26.1%,13.7%,62
0.298,21.67,44.5%,278,JUP,27.9%,16.2%,64
0.272,22.83,42.3%,226,TAM,29.4%,16.0%,59
0.302,23.42,39.2%,234,LAK,39.8%,12.7%,58
0.314,24.58,52.7%,269,DUN,20.5%,14.6%,62
0.297,20.25,47.3%,222,BRD,24.2%,17.2%,50
0.337,23.67,43.7%,203,CLR,28.4%,16.9%,51
0.292,20.08,47.1%,263,LAK,27.3%,15.0%,60
