Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,PorSal,129,462,82,133,44,3,19,85,12,3,80,115,0.288,0.399,0.519,0.918
Jackie Bradley,PorSal,127,460,89,144,41,4,9,62,24,9,87,89,0.313,0.428,0.478,0.907
Garin Cecchini,Gre,118,455,84,139,38,4,4,62,52,7,61,90,0.305,0.394,0.433,0.827
Xander Bogaerts,PorSal,126,475,71,145,37,3,20,81,5,5,43,106,0.305,0.371,0.522,0.893
Keury De La Cruz,SalGre,122,499,72,153,37,8,20,87,21,8,27,103,0.307,0.35,0.533,0.883
Michael Almanzar,Sal,123,452,62,136,36,0,12,54,9,5,33,75,0.301,0.355,0.46,0.815
Mauro Gomez,Paw,100,387,65,120,34,1,24,74,1,0,35,88,0.31,0.371,0.589,0.96
Sean Coyle,Sal,115,434,59,108,31,2,9,62,16,1,29,116,0.249,0.316,0.392,0.708
Bryce Brentz,PawPor,127,473,62,137,30,1,17,76,7,4,41,136,0.29,0.349,0.465,0.814
Reynaldo Rodriguez,PawPor,102,370,53,92,30,3,16,53,7,3,39,93,0.249,0.326,0.476,0.802
Brandon Jacobs,Sal,113,435,62,109,30,0,13,60,19,10,39,128,0.251,0.322,0.409,0.731
J.C. Linares,PawPor,110,413,58,130,28,2,16,62,0,1,29,67,0.315,0.363,0.508,0.872
David Renfroe,SalGre,106,388,51,97,28,0,10,69,4,1,36,76,0.25,0.324,0.399,0.724
Jeremy Hazelbaker,PawPor,121,466,79,127,24,6,19,67,36,11,35,122,0.273,0.335,0.472,0.807
Henry Ramos,Gre,122,441,60,112,24,4,8,63,12,10,44,101,0.254,0.327,0.381,0.708
Shannon Wilkerson,PorSal,124,477,58,128,24,5,4,48,32,8,25,88,0.268,0.304,0.365,0.669
Marquez Smith,Por,71,280,43,82,22,1,8,37,2,0,23,52,0.293,0.35,0.464,0.815
Ryan Lavarnway,Paw,83,319,52,94,22,0,8,43,1,0,40,62,0.295,0.376,0.439,0.815
Lars Anderson,Paw,93,340,49,88,22,2,9,52,1,0,56,89,0.259,0.359,0.415,0.774
Christian Vazquez,PorSal,100,364,54,93,21,0,7,46,2,2,48,78,0.255,0.346,0.371,0.717
Boss Moanaroa,Gre,110,359,48,94,20,1,5,49,1,1,77,113,0.262,0.391,0.365,0.756
Dan Butler,PawPor,95,320,37,79,19,2,9,37,0,0,40,62,0.247,0.342,0.403,0.746
Aneudis Peralta,DSL,61,209,31,52,18,1,0,26,2,3,35,39,0.249,0.369,0.344,0.714
Drew Turocy,Gre,81,291,36,82,18,1,2,29,8,3,18,61,0.282,0.326,0.371,0.697
Jose Colorado,LowGCL,59,205,33,54,17,1,1,30,16,7,31,44,0.263,0.365,0.371,0.735
