Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1996-04-17,TOR,CAL,L 1-5 @CAL,4,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,"1st career game, 1st career hit"
1996-09-25,TOR,DET,W 13-11 @DET,4,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,9,1st career RBI
1998-04-01,TBA,DET,W 11-8 vs DET,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,27,1st career stolen base
1998-04-27,TBA,OAK,L 6-7 vs OAK,3,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,44,1st career home run
1999-06-20,TBA,MIN,W 6-5 @MIN,6,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,221,4 hits
2000-04-06,TBA,MIN,W 7-6 @MIN,4,0,3,1,1,0,5,0,0,0,0,0,0,0,0,0,299,5 RBIs
2001-09-20,SLN,PIT,W 9-1 @PIT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500th career game
2001-09-28,SLN,PIT,W 14-3 vs PIT,3,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,504,3 Doubles
2003-06-06,SLN,BAL,W 8-6 vs BAL,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,659,2 hit by pitches
2004-06-09,NYA,COL,W 7-5 vs COL,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,738,4 hits
2004-09-09,NYA,TBA,W 9-1 vs TBA,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,808,2 hit by pitches
2006-05-11,NYA,BOS,L 3-5 vs BOS,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,942,4 strikeouts
2006-05-27,NYA,KCA,W 15-4 vs KCA,5,2,4,1,0,0,3,0,0,0,0,0,0,0,0,0,947,4 hits
2006-07-01,NYA,NYN,L 3-8 vs NYN,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,970,100th career stolen base
2006-09-20,NYA,TOR,L 2-3 @TOR,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000th career game
2008-09-01,SEA,TEX,W 12-6 @TEX,3,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1181,2 hit by pitches
2011-08-12,CIN,SDN,W 5-3 vs SDN,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1396,1000th career hit
2011-08-13,CIN,SDN,W 13-1 vs SDN,4,2,2,0,0,2,4,0,0,0,1,0,0,0,0,0,1397,2 home runs
