AB,RBI,Opp,Result,Game Date,SF,SH
5,3,SFN,W 8-5 @SFN,2007-07-29,0,0
4,1,PHI,W 3-1 @PHI,2004-04-20,0,0
5,1,CLE,W 9-6 @CLE,2015-04-11,0,0
2,2,WAS,W 5-3 vs WAS,2007-07-15,0,0
5,4,NYA,W 10-7 @NYA,2011-04-03,0,0
5,2,TBA,W 5-2 @TBA,2012-06-28,0,0
5,4,KCA,W 9-8 @KCA,2007-06-16,0,0
4,2,CHA,W 6-4 vs CHA,2012-07-22,0,0
4,2,SLN,W 4-3 @SLN,2005-08-04,0,0
5,3,KCA,W 10-3 vs KCA,2009-08-15,0,0
6,4,TEX,W 13-5 @TEX,2009-07-29,0,0
5,1,PHI,W 11-5 @PHI,2007-04-28,0,0
4,3,SFN,L 4-5 vs SFN,2014-09-06,0,0
4,1,WAS,L 3-4 @WAS,2007-09-04,0,0
5,5,ANA,W 10-7 @ANA,2009-08-24,0,0
4,4,OAK,W 10-2 vs OAK,2008-08-09,0,0
2,2,PHI,W 4-0 vs PHI,2005-04-13,2,0
3,2,SFN,L 9-12 @SFN,2004-04-30,2,0
5,1,SLN,W 4-3 @SLN,2015-05-16,0,0
4,2,KCA,W 4-3 @KCA,2008-08-22,0,0
4,6,HOU,W 17-2 @HOU,2013-05-04,0,0
5,5,COL,W 10-2 @COL,2007-09-15,0,0
4,4,CLE,W 8-5 @CLE,2015-04-12,0,0
5,2,ARI,W 6-3 @ARI,2005-07-19,0,0
5,3,TEX,W 17-4 @TEX,2008-09-17,0,0
5,6,ATL,W 8-0 @ATL,2005-06-23,0,0
4,4,WAS,W 9-7 vs WAS,2006-08-23,0,0
