SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1988 - 1989,Brynäs IF,SHL,40,19,3,18,-,-,142,147,41,6,Semifinal loss
1989 - 1990,Brynäs IF,SHL,40,20,3,17,-,-,175,160,43,4,Semifinal loss
1990 - 1991,Brynäs IF,SHL,40,14,6,20,-,-,112,133,34,8,Quarterfinal loss
1991 - 1992,Brynäs IF,SHL,40,22,3,15,-,-,157,124,47,3,Semifinal loss
1992 - 1993,Brynäs IF,SHL,40,20,8,12,-,-,149,124,48,2,Champion
1993 - 1994,Brynäs IF,SHL,40,22,4,14,-,-,131,107,48,2,Semifinal loss
1994 - 1995,Brynäs IF,SHL,40,17,8,15,-,-,120,128,42,5,Final loss
1995 - 1996,Brynäs IF,SHL,22,3,6,13,-,-,60,86,12,12,Saved in relegation
 ,Brynäs IF,Allsvenskan,18,17,0,1,-,-,95,37,34,1,-
1996 - 1997,Brynäs IF,SHL,50,21,8,21,-,-,155,144,50,9,Did not make playoffs
1997 - 1998,Brynäs IF,SHL,46,21,6,19,-,-,138,131,48,5,Quarterfinal loss
1998 - 1999,Brynäs IF,SHL,50,21,2,20,4,3,167,152,76,5,Champion
1999 - 2000,Brynäs IF,SHL,50,28,0,15,1,6,165,134,92,2,Semifinal loss
2000 - 2001,Brynäs IF,SHL,50,23,0,14,5,8,167,146,87,3,Quarterfinal loss
2001 - 2002,Brynäs IF,SHL,50,19,0,24,3,4,143,164,67,8,Quarterfinal loss
2002 - 2003,Brynäs IF,SHL,50,13,0,27,4,6,105,166,53,11,Saved in relegation
2003 - 2004,Brynäs IF,SHL,50,18,0,27,2,3,121,151,61,10,Did not make playoffs
2004 - 2005,Brynäs IF,SHL,50,12,5,29,2,2,123,182,47,11,Saved in relegation
2005 - 2006,Brynäs IF,SHL,50,16,6,19,4,5,114,129,67,7,Quarterfinal loss
2006 - 2007,Brynäs IF,SHL,55,18,12,17,6,2,146,137,80,6,Quarterfinal loss
2007 - 2008,Brynäs IF,SHL,55,16,3,30,4,2,152,178,61,12,Saved in relegation
 ,Brynäs IF,Kvalserien SHL,10,6,1,3,0,0,40,23,19,1,Saved in relegation
2008 - 2009,Brynäs IF,SHL,55,21,6,22,4,2,128,140,79,7,Quarterfinal loss
2009 - 2010,Brynäs IF,SHL,55,20,11,17,6,1,144,124,84,6,Quarterfinal loss
2010 - 2011,Brynäs IF,SHL,55,19,-,20,8,8,147,157,81,7,Quarterfinal loss
2011 - 2012,Brynäs IF,SHL,55,25,-,19,6,5,148,140,92,4,Champion
2012 - 2013,Brynäs IF,SHL,55,17,-,20,6,12,123,166,75,8,Quarterfinal loss
2013 - 2014,Brynäs IF,SHL,55,19,-,19,11,6,163,152,85,4,Quarterfinal loss
2014 - 2015,Brynäs IF,SHL,55,19,-,28,3,5,132,159,68,10,Quarterfinal loss
2015 - 2016,Brynäs IF,SHL,-,-,-,-,-,-,-,-,-,-,-
