AST%,TOV%,MP,ORtg,G,Age,BLK%,USG%,STL%
22.9,0.0,12:00,34,42,32-110,0.0,19.4,0.0
0.0,40.0,13:00,48,1,31-338,0.0,17.6,0.0
0.0,100.0,6:00,0,44,32-116,0.0,8.4,0.0
0.0, ,1:00, ,43,32-112,0.0,0.0,0.0
0.0,100.0,8:00,0,2,31-339,0.0,5.3,6.3
8.1,0.0,16:00,105,47,32-133,0.0,13.7,0.0
0.0,50.0,4:00,0,17,32-031,0.0,22.5,0.0
15.4,41.0,15:00,65,4,31-345,0.0,30.9,7.7
0.0, ,5:00, ,50,32-141,0.0,0.0,0.0
0.0,0.0,9:00,165,45,32-118,0.0,10.0,6.2
0.0,0.0,1:00,0,36,32-092,0.0,48.7,0.0
0.0,0.0,3:00,0,30,32-077,0.0,33.0,0.0
0.0,0.0,9:00,200,24,32-047,0.0,5.2,5.8
0.0,0.0,10:00,71,49,32-139,0.0,15.0,0.0
0.0,25.0,8:00,61,9,32-004,0.0,22.4,0.0
0.0,0.0,7:00,31,38,32-096,0.0,25.9,7.4
0.0,53.2,6:00,0,6,31-350,0.0,13.9,0.0
20.2,0.0,14:00,91,23,32-045,0.0,6.8,0.0
