Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Aneury Tavarez,Low,67,7,19,1,3,2,9,2,2,4,14,0.284,0.36,0.478,0.838
Mike Miller,Low,113,19,31,9,1,0,2,12,0,12,14,0.274,0.349,0.372,0.721
Kendrick Perkins,Low,54,7,12,2,1,2,7,2,1,5,17,0.222,0.3,0.407,0.707
Deven Marrero,Low,99,14,24,5,1,0,6,11,1,14,21,0.242,0.339,0.313,0.652
Matthew Marquis,Low,38,4,7,0,1,1,7,2,0,6,16,0.184,0.311,0.316,0.627
Jose Iglesias,Low,4,1,2,1,0,0,0,1,0,0,0,0.5,0.5,0.75,1.25
J.T. Watkins,Low,12,2,5,1,0,0,1,0,0,1,3,0.417,0.5,0.5,1.0
Kevin Heller,Low,6,0,2,1,0,0,0,0,0,0,3,0.333,0.333,0.5,0.833
Dreily Guerrero,Low,60,11,20,4,0,0,5,9,2,9,18,0.333,0.414,0.4,0.814
Williams Jerez,Low,25,1,9,2,0,0,4,0,1,0,2,0.36,0.36,0.44,0.8
David Chester,Low,57,11,14,2,0,3,11,1,1,8,14,0.246,0.348,0.439,0.787
Mookie Betts,Low,74,15,19,2,0,0,12,7,1,15,10,0.257,0.396,0.284,0.679
Jason Thompson,Low,7,0,2,0,0,0,0,0,0,1,0,0.286,0.375,0.286,0.661
Jake Davies,Low,36,3,8,3,0,0,7,0,0,7,4,0.222,0.356,0.306,0.661
Tim Roberson,Low,18,2,4,0,0,1,3,0,0,1,3,0.222,0.25,0.389,0.639
Matthew Gedman,Low,50,6,10,2,0,0,10,1,0,7,6,0.2,0.311,0.24,0.551
Seth Schwindenhammer,Low,11,2,1,0,0,1,5,0,0,1,6,0.091,0.167,0.364,0.53
Matty Johnson,Low,18,3,4,0,0,0,1,3,0,2,2,0.222,0.3,0.222,0.522
Zach Kapstein,Low,25,1,3,0,0,0,1,0,0,2,9,0.12,0.214,0.12,0.334
Jose Colorado,Low,6,0,0,0,0,0,0,1,0,2,2,0.0,0.333,0.0,0.333
Roberto Reyes,Low,7,0,1,0,0,0,0,0,0,0,5,0.143,0.143,0.143,0.286
Oscar Perez,Low,43,2,3,0,0,0,1,0,1,2,10,0.07,0.111,0.07,0.181
Nick Moore,Low,7,0,0,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125
Nathan Minnich,Low,15,0,0,0,0,0,0,0,0,2,5,0.0,0.118,0.0,0.118
Kolbrin Vitek,Low,3,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
