HR,R,G,SH,3B
3,45,96,5,3
0,1,7,0,0
0,0,2,0,0
1,3,12,0,0
8,43,100,1,1
2,31,87,4,5
0,2,3,0,1
8,32,92,3,1
0,8,41,1,0
2,66,124,6,5
0,0,2,0,0
0,3,7,0,0
16,91,123,1,5
1,8,33,0,1
0,4,22,1,0
0,7,32,3,0
2,13,32,2,1
4,33,105,2,2
2,22,62,0,3
2,29,67,5,2
0,1,3,0,0
1,5,23,0,0
0,0,1,0,0
0,1,4,0,1
0,1,3,0,0
4,19,50,1,0
12,53,106,1,2
0,41,118,9,2
3,33,52,0,5
1,7,26,0,2
1,12,67,2,1
1,6,8,0,0
0,3,11,0,1
0,3,17,1,0
0,12,26,0,0
0,0,9,0,0
3,21,50,0,2
1,16,34,1,0
8,47,114,3,5
2,11,34,4,0
12,37,96,0,1
7,50,125,2,3
0,2,2,0,0
0,0,3,0,0
0,2,15,1,0
2,44,116,4,1
2,53,121,3,2
7,21,49,0,0
0,11,42,1,1
4,32,59,2,3
1,33,68,5,7
0,4,6,0,0
13,63,122,0,4
9,39,105,0,2
1,36,74,7,1
2,34,59,0,2
1,27,92,7,0
2,14,28,0,1
0,2,8,1,0
13,28,73,0,1
0,2,5,0,0
16,61,123,0,1
4,43,112,7,0
0,9,41,3,0
0,1,2,0,0
13,44,101,0,1
0,4,22,0,0
0,1,5,0,0
1,10,12,0,3
3,26,60,2,0
3,31,66,4,2
8,40,90,0,2
0,4,14,0,1
0,1,3,0,0
2,13,44,1,0
0,2,3,0,1
4,12,21,0,1
17,61,112,2,3
4,36,90,3,4
10,42,92,8,2
0,5,14,0,0
0,0,2,0,0
0,9,15,0,0
1,13,30,1,0
0,2,4,0,0
12,37,86,1,2
0,7,21,1,1
2,24,65,4,3
3,27,99,0,3
9,40,59,0,0
1,10,18,1,1
1,6,7,0,0
2,7,27,0,0
0,0,1,0,0
13,61,118,0,3
2,7,25,0,0
0,0,1,0,0
0,8,24,2,0
5,27,50,0,4
2,38,90,1,2
0,55,61,2,2
6,32,76,0,4
1,16,40,0,0
1,31,75,5,5
0,1,2,0,0
0,1,6,0,0
2,60,124,6,9
3,11,44,1,1
4,35,105,1,2
11,49,103,0,1
14,53,97,1,1
0,9,27,0,0
1,36,90,4,0
0,3,8,0,0
5,38,56,0,2
10,51,134,5,5
7,34,82,2,1
11,53,131,2,2
18,62,122,2,3
0,4,21,3,0
0,0,6,0,0
3,26,86,8,1
15,59,126,1,2
0,11,27,0,0
1,19,73,4,1
0,0,2,0,0
0,56,116,6,4
1,2,2,0,0
1,9,36,3,0
1,7,20,0,1
1,18,51,2,1
2,38,91,4,2
3,6,32,1,0
1,5,21,0,1
6,18,59,1,2
1,7,39,3,0
1,29,63,8,2
0,3,15,2,0
0,2,2,0,0
0,2,6,0,0
0,0,10,1,0
5,25,92,0,1
2,28,57,0,1
0,4,4,0,0
0,2,12,0,0
0,0,1,0,0
12,27,50,0,3
