Year,Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS
2002.0,Oneonta Tigers,0.227,45,150,23,34,5,2,0,10,34,28,0,2,0.371,0.287,0.658
2003.0,Fort Wayne Wizards,0.24,17,50,2,12,0,0,0,4,4,11,0,1,0.296,0.24,0.536
 ,Eugene Emeralds,0.25,28,100,14,25,7,0,0,7,14,25,1,0,0.353,0.32,0.673
2004.0,Lake Elsinore Storm,0.262,37,107,12,28,7,0,1,12,10,19,0,1,0.319,0.355,0.674
 ,Fort Wayne Wizards,0.212,27,99,10,21,6,3,0,12,11,23,1,0,0.288,0.333,0.621
2005.0,Mobile BayBears,0.257,88,230,24,59,8,1,2,25,35,46,3,3,0.356,0.326,0.682
2006.0,Mobile BayBears,0.0,2,5,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
 ,Portland Beavers,0.266,73,244,27,65,14,1,4,29,49,54,0,0,0.392,0.381,0.773
2007.0,Portland Beavers,0.22,98,300,35,66,20,2,0,17,47,77,0,3,0.326,0.3,0.626
2008.0,Portland Beavers,0.261,31,88,12,23,3,0,4,19,19,27,0,0,0.396,0.432,0.828
 ,San Diego Padres,0.149,36,94,12,14,3,1,1,6,10,34,0,0,0.238,0.234,0.472
2009.0,Reno Aces,0.321,72,237,45,76,17,0,7,35,45,55,4,4,0.43,0.481,0.911
 ,Arizona Diamondbacks,0.167,10,18,3,3,0,0,0,1,3,3,0,0,0.286,0.167,0.453
2010.0,Indianapolis Indians,0.239,63,205,23,49,8,1,2,23,27,49,5,2,0.331,0.317,0.648
 ,Columbus Clippers,0.231,13,39,9,9,2,0,2,6,7,11,0,0,0.34,0.436,0.776
 ,Cleveland Indians,0.357,6,14,4,5,0,0,2,3,2,5,0,0,0.438,0.786,1.224
2011.0,Columbus Clippers,0.213,63,188,33,40,8,0,5,27,44,45,0,0,0.364,0.335,0.699
 ,Cleveland Indians,0.214,4,14,2,3,1,0,0,1,0,3,1,0,0.214,0.286,0.5
2012.0,Columbus Clippers,0.252,62,206,23,52,10,0,3,27,34,26,0,1,0.358,0.345,0.703
2013.0,Salt Lake Bees,0.23,77,244,39,56,8,0,4,29,40,53,6,3,0.339,0.311,0.65
 ,Minor League Totals,0.247,796,2492,331,615,123,10,34,282,420,550,20,20,0.357,0.345,0.702
 ,Major League Totals,0.179,56,140,21,25,4,1,3,11,15,45,1,0,0.263,0.286,0.549
