OBP,SH,2B,AVG,OPS,SO
.415,0,9,.358,.965,33
.328,0,2,.304,.810,18
.372,0,4,.292,.699,19
.000,0,0,.000,.000,2
.354,0,17,.288,.867,30
.444,0,0,.286,1.016,2
.368,0,7,.281,.761,32
.333,0,0,.250,.583,2
.396,0,22,.327,.994,39
.412,0,3,.333,.945,1
.400,0,1,.357,.829,3
.000,0,0,.000,.000,1
.256,2,5,.216,.530,41
.375,0,2,.286,.946,2
.000,0,0,.000,.000,2
.241,0,1,.214,.491,9
.459,0,15,.378,1.000,30
.395,0,1,.353,.777,7
.286,0,1,.167,.619,2
.386,1,9,.331,.825,24
.229,0,1,.196,.447,15
.255,1,1,.204,.479,11
.313,3,6,.274,.676,60
.341,6,10,.234,.661,30
.316,0,1,.278,.649,6
.286,2,4,.204,.651,32
.359,1,7,.283,.721,34
.342,0,7,.267,.837,38
.321,0,10,.241,.804,67
.262,0,5,.206,.552,23
.600,0,0,.333,.933,0
.319,1,2,.260,.626,36
.360,1,7,.279,.820,61
.000,0,0,.000,.000,2
.291,0,3,.213,.631,12
.455,0,1,.333,1.121,6
.237,0,2,.171,.523,6
.278,0,1,.187,.538,68
.335,1,8,.252,.699,59
.250,0,0,.143,.393,2
.375,1,0,.375,.750,2
.273,0,1,.158,.483,8
.350,0,1,.188,.600,5
.408,0,3,.323,.779,13
.292,0,0,.190,.482,13
.248,1,7,.176,.576,23
.222,0,0,.212,.434,11
.271,1,0,.211,.613,31
.286,0,0,.167,.452,5
.333,0,6,.328,.755,23
.471,1,13,.339,.950,31
.750,0,0,.500,1.250,0
.432,0,2,.364,.857,8
.375,0,1,.286,.804,1
.163,1,2,.107,.296,20
.282,2,2,.239,.578,11
.342,1,6,.288,.752,24
.325,0,3,.261,.638,28
.529,0,10,.406,1.108,11
.336,1,6,.226,.648,27
.333,0,2,.250,.750,5
.467,0,3,.333,1.050,2
.372,6,9,.295,.804,36
.390,0,3,.361,.918,5
.336,0,5,.222,.681,41
.260,0,5,.184,.567,55
.361,0,3,.303,.687,18
.591,0,2,.500,1.202,4
.389,0,10,.307,.800,27
.206,1,0,.100,.306,8
.333,0,0,.333,.667,1
.346,0,3,.261,.781,16
.276,0,3,.187,.543,21
.300,0,1,.222,.559,8
.298,2,5,.240,.587,12
--,0,0,--,--,0
.355,0,0,.286,.712,7
.351,0,3,.275,.743,14
.000,0,0,.000,.000,0
.323,0,6,.301,.722,23
.200,0,0,.200,.400,7
.298,0,1,.167,.527,21
.261,0,4,.150,.469,48
.383,1,2,.337,.858,13
.297,3,7,.228,.586,40
.471,1,1,.280,.791,4
.297,0,2,.240,.577,31
.330,1,15,.283,.855,30
.259,0,2,.192,.567,20
.243,0,8,.209,.500,72
.427,1,5,.290,1.017,38
.252,0,5,.223,.544,38
.242,0,4,.190,.552,10
.548,0,3,.364,1.048,7
.400,0,0,.400,.800,1
.333,0,2,.250,.708,9
.091,0,0,.000,.091,3
.325,2,12,.284,.733,33
.400,0,0,.357,.971,7
.448,0,5,.347,1.020,3
.214,0,0,.125,.423,6
.390,1,6,.317,.760,24
.197,0,0,.152,.379,20
.309,2,2,.253,.610,16
.394,0,2,.286,.751,5
.314,1,5,.239,.630,39
.520,0,1,.520,1.160,3
.333,0,0,.280,.613,6
.333,0,9,.300,.756,20
.375,0,0,.231,.606,5
.322,2,6,.230,.693,48
.362,0,4,.302,.897,14
.365,0,3,.327,1.080,9
.308,0,3,.292,.667,13
.351,1,7,.250,.836,23
.333,0,1,.333,.833,2
.750,0,0,.750,1.500,0
.354,1,13,.297,.892,30
.412,0,1,.375,.849,4
.329,2,6,.278,.705,33
.380,0,2,.273,.744,26
.417,0,5,.364,.992,12
.474,0,1,.286,1.117,12
.143,0,0,.167,.310,1
.333,1,1,.236,.708,14
.293,2,4,.252,.620,26
.314,0,3,.274,.615,25
.321,2,8,.262,.777,49
.324,0,3,.239,.617,28
.233,0,6,.204,.580,25
.304,0,3,.304,.826,5
.385,0,1,.273,.748,4
.291,0,6,.230,.557,45
.328,0,10,.276,.723,40
.318,0,6,.259,.824,27
.276,0,7,.250,.727,58
.364,0,4,.279,.725,36
.293,0,2,.259,.775,33
.351,4,7,.326,.781,16
.317,2,2,.276,.628,9
1.000,0,0,1.000,2.000,0
.615,0,0,.545,1.161,0
.280,2,2,.250,.572,15
.467,0,1,.429,.967,2
.308,0,2,.254,.646,16
.365,2,14,.314,.796,42
.406,0,6,.286,.763,41
.312,0,9,.244,.669,25
.333,0,0,.294,.863,5
.325,1,4,.231,.646,59
.265,1,9,.230,.598,73
.333,0,0,.143,.476,6
.293,2,4,.213,.633,58
.400,1,3,.400,.900,3
.351,0,9,.242,.689,46
.238,0,2,.200,.488,10
.313,0,0,.182,.494,3
.226,1,4,.174,.513,60
.283,1,17,.224,.645,59
.220,0,0,.093,.313,17
.321,3,0,.141,.462,17
.420,3,7,.369,.867,28
.256,3,11,.218,.605,48
.397,1,2,.356,.891,11
.263,0,5,.212,.563,63
.349,2,2,.255,.640,17
.222,0,0,.000,.222,2
.368,0,6,.231,.702,19
.351,0,2,.260,.651,11
.339,3,7,.275,.761,27
.143,0,0,.143,.286,2
.342,0,5,.242,.697,18
.377,0,3,.267,.755,7
.281,0,5,.236,.596,23
.350,0,2,.278,.739,10
.315,1,7,.240,.675,28
.366,0,6,.333,.853,7
.235,0,1,.143,.414,7
.254,0,0,.212,.466,18
.298,1,2,.216,.553,11
.290,1,5,.237,.580,27
.409,0,6,.338,.825,22
.400,0,3,.308,.804,16
.286,0,2,.197,.515,18
.416,0,11,.311,1.010,28
.240,0,2,.174,.443,28
.136,0,0,.143,.279,6
.250,0,0,.000,.250,0
