Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Ryan Howard,PHI,6,1,0.167,0,0,1,1,0,5,0,0,0.667,0.167,0.833
Jay Bruce,CIN,5,3,0.6,0,0,1,3,0,2,1,0,1.2,0.6,1.8
Jon Jay,STL,5,3,0.6,0,0,0,1,0,0,0,0,0.6,0.6,1.2
Seth Smith,SEA,5,2,0.4,1,0,0,0,1,0,0,0,0.6,0.5,1.1
Brandon Moss,STL,5,1,0.2,1,0,0,1,0,3,0,0,0.4,0.2,0.6
Josh Donaldson,TOR,4,2,0.5,0,0,0,2,0,0,0,0,0.5,0.5,1.0
Domonic Brown,PHI,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Cesar Hernandez,PHI,4,1,0.25,0,0,0,2,0,1,0,1,0.25,0.25,0.5
Garrett Jones,NY-A,4,1,0.25,0,0,0,0,1,0,0,0,0.25,0.4,0.65
Anthony Rizzo,CHI-N,4,1,0.25,0,0,0,0,0,2,0,0,0.25,0.25,0.5
Michael Brantley,CLE,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Duda,NY-N,4,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Daniel Murphy,NY-N,4,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Jed Lowrie,HOU,3,2,0.667,0,0,0,2,1,0,0,0,0.667,0.75,1.417
Shane Robinson,MIN,3,2,0.667,2,0,0,0,0,0,0,0,1.333,0.667,2.0
Pablo Sandoval,BOS,3,2,0.667,1,0,0,0,0,0,0,0,1.0,0.667,1.667
Gregor Blanco,SF,3,1,0.333,0,0,0,0,0,2,0,0,0.333,0.333,0.667
Chris Davis,BAL,3,1,0.333,0,0,0,0,1,1,0,0,0.333,0.5,0.833
Chris Young,NY-A,3,1,0.333,1,0,0,0,2,0,0,0,0.667,0.6,1.267
Bryce Harper,WAS,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Francisco Lindor,CLE,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Ben Revere,PHI,3,0,0.0,0,0,0,1,0,0,0,0,0.0,0.25,0.25
Starlin Castro,CHI-N,2,2,1.0,1,0,0,0,0,0,0,0,1.5,1.0,2.5
Jordan Pacheco,AZ,2,2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Mike Aviles,CLE,2,1,0.5,0,0,1,1,0,0,0,0,2.0,0.5,2.5
Gordon Beckham,CHI-A,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5,1.0
Brandon Belt,SF,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Kole Calhoun,ANA,2,1,0.5,0,0,0,0,1,0,0,0,0.5,0.667,1.167
Welington Castillo,AZ,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Shin-Soo Choo,TEX,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Allen Craig,BOS,2,1,0.5,0,0,0,0,1,0,0,0,0.5,0.667,1.167
Alejandro De Aza,BOS,2,1,0.5,0,0,0,0,0,0,1,0,0.5,0.5,1.0
Adam Eaton,CHI-A,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Craig Gentry,OAK,2,1,0.5,0,1,0,0,0,0,0,0,1.5,0.5,2.0
Carlos Gonzalez,COL,2,1,0.5,0,0,1,2,1,0,1,0,2.0,0.667,2.667
Aaron Hicks,MIN,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Chris Iannetta,ANA,2,1,0.5,0,0,1,3,0,0,0,0,2.0,0.5,2.5
John Jaso,TB,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5,1.0
Logan Morrison,SEA,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
David Murphy,ANA,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
A.J. Pierzynski,ATL,2,1,0.5,1,0,0,0,0,1,0,0,1.0,0.5,1.5
Jose Pirela,NY-A,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Cody Ransom,AZ,2,1,0.5,0,0,1,3,0,1,0,0,2.0,0.5,2.5
Jimmy Rollins,LA,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Darin Ruf,PHI,2,1,0.5,0,0,1,1,0,1,0,0,2.0,0.5,2.5
Eric Sogard,OAK,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.75,1.25
Blake Swihart,BOS,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Matt Adams,STL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Pedro Alvarez,PIT,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Rod Barajas, ,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michael Bourn,CLE,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Matt Carpenter,STL,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Yoenis Cespedes,DET,2,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
Coco Crisp,OAK,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Todd Cunningham,ATL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Freddie Freeman,ATL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
David Freese,ANA,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Freddy Galvis,PHI,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Brett Gardner,NY-A,2,0,0.0,0,0,0,0,1,0,1,0,0.0,0.333,0.333
Didi Gregorius,NY-A,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Chase Headley,NY-A,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brock Holt,BOS,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brett Jackson,SF,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Caleb Joseph,BAL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Jason Kipnis,CLE,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Steve Lombardozzi,PIT,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nick Markakis,ATL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Angel Pagan,SF,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jimmy Paredes,BAL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Chris Parmelee,BAL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gerardo Parra,MIL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Josh Satin,CIN,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Chase Utley,PHI,2,0,0.0,0,0,0,0,1,0,0,0,0.0,0.333,0.333
Luis Valbuena,HOU,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Christian Yelich,MIA,2,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
Elvis Andrus,TEX,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Cody Asche,PHI,1,1,1.0,0,0,0,0,0,0,0,1,1.0,1.0,2.0
Jason Bay, ,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Adrian Beltre,TEX,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Justin Bour,MIA,1,1,1.0,1,0,0,2,0,0,0,0,2.0,1.0,3.0
Tony Campana, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Chris Coghlan,CHI-N,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Jordan Danks,PHI,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Ike Davis,OAK,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Mark Ellis, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Yunel Escobar,WAS,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Tyler Flowers,CHI-A,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Todd Frazier,CIN,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Sam Fuld,OAK,1,1,1.0,0,0,0,2,0,0,0,0,1.0,1.0,2.0
Rafael Furcal, ,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Johnny Giavotella,ANA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Alex Gordon,KC,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Curtis Granderson,NY-N,1,1,1.0,0,0,0,2,0,0,0,0,1.0,1.0,2.0
Cesar Izturis, ,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Reed Johnson,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Chipper Jones, ,1,1,1.0,1,0,0,1,0,0,0,0,2.0,1.0,3.0
Kevin Kouzmanoff, ,1,1,1.0,0,0,1,2,0,0,0,0,4.0,1.0,5.0
Manny Machado,BAL,1,1,1.0,0,0,1,1,0,0,0,0,4.0,1.0,5.0
Joe Mather, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Kirk Nieuwenhuis,NY-N,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Shane Peterson,MIL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Anthony Rendon,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Gaby Sanchez, ,1,1,1.0,0,0,0,0,1,0,0,0,1.0,1.0,2.0
Dave Sappelt, ,1,1,1.0,1,0,0,0,0,0,0,0,2.0,1.0,3.0
Jordan Schafer, ,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Travis Snider,BAL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Donovan Solano,MIA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Ian Stewart,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Kurt Suzuki,MIN,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Mike Trout,ANA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Dan Uggla,WAS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Ty Wigginton, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Delmon Young, ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Norichika Aoki,SF,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
