Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mike Meyers,Low,3,2,1,0,1,0,0,0,0,0,0,0.333,0.333,1.0,1.333
Carson Blair,Low,2,0,1,0,0,0,1,0,0,1,0,0.5,0.5,0.5,1.0
Zach Kapstein,Low,3,0,1,1,0,0,1,0,0,0,0,0.333,0.333,0.667,1.0
Reed Gragnani,Low,21,1,8,3,0,0,3,1,0,1,3,0.381,0.462,0.524,0.985
Kevin Mager,Low,77,13,24,8,1,2,16,3,0,18,16,0.312,0.454,0.519,0.973
Kendrick Perkins,Low,23,6,7,3,0,1,6,1,0,3,6,0.304,0.385,0.565,0.95
Carlos Asuaje,Low,59,8,18,7,0,0,7,0,0,8,16,0.305,0.382,0.424,0.806
Forrestt Allday,Low,38,8,9,2,0,0,4,3,0,12,6,0.237,0.442,0.289,0.732
Danny Bethea,Low,46,9,11,4,0,1,5,1,0,7,13,0.239,0.34,0.391,0.731
Tzu-Wei Lin,Low,68,13,20,3,0,0,9,4,1,9,21,0.294,0.385,0.338,0.723
Aaron King,Low,66,10,15,4,0,2,8,2,0,11,27,0.227,0.338,0.379,0.716
Williams Jerez,Low,45,2,11,3,1,0,6,2,0,3,7,0.244,0.292,0.356,0.647
Cleuluis Rondon,Low,48,7,13,1,1,0,6,2,0,2,7,0.271,0.3,0.333,0.633
Manuel Margot,Low,53,7,10,2,1,1,8,4,2,7,11,0.189,0.279,0.321,0.599
David Sopilka,Low,34,3,6,1,0,0,3,0,0,9,9,0.176,0.348,0.206,0.554
Deiner Lopez,Low,36,6,8,1,0,0,2,1,0,3,9,0.222,0.3,0.25,0.55
Jake Romanski,Low,28,2,5,0,0,1,1,0,0,2,5,0.179,0.233,0.286,0.519
Jose Colorado,Low,20,4,4,1,0,0,2,0,2,2,4,0.2,0.25,0.25,0.5
Nathan Minnich,Low,29,4,6,0,0,0,1,0,0,2,8,0.207,0.273,0.207,0.48
Nick Moore,Low,72,8,12,3,0,0,10,2,0,5,33,0.167,0.222,0.208,0.431
Jantzen Witte,Low,27,4,4,1,0,0,0,0,0,2,3,0.148,0.233,0.185,0.419
Miguel Rodriguez,Low,13,0,1,0,0,0,1,0,1,0,2,0.077,0.077,0.077,0.154
Wendell Rijo,Low,3,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0
