Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
West Michigan,0.268,140,4726,648,1268,243,43,74,590,437,893,181,70,33,46,105,0.335,0.385,0.72
South Bend,0.265,138,4597,618,1217,224,35,81,546,501,864,67,51,32,40,121,0.344,0.382,0.726
Dayton,0.263,140,4762,669,1254,233,28,106,594,379,1061,122,57,16,32,99,0.325,0.391,0.715
Great Lakes,0.261,139,4677,582,1223,229,32,94,528,367,1082,104,64,46,27,102,0.32,0.384,0.704
Lansing,0.259,139,4616,718,1194,273,53,104,658,602,1168,77,42,33,42,98,0.349,0.408,0.757
Quad Cities,0.256,139,4653,625,1191,211,16,94,553,396,940,95,54,24,40,116,0.323,0.369,0.692
Cedar Rapids,0.255,139,4519,611,1154,231,42,112,540,339,1108,196,89,31,39,93,0.314,0.399,0.713
Peoria,0.254,139,4597,581,1166,196,23,61,513,364,925,136,69,38,36,105,0.313,0.346,0.659
Fort Wayne,0.252,139,4600,557,1158,210,21,83,506,469,1006,79,52,28,38,84,0.326,0.361,0.687
Clinton,0.248,137,4558,590,1131,240,30,77,504,426,1036,144,50,19,39,88,0.321,0.365,0.686
Wisconsin,0.248,138,4502,546,1117,236,31,71,495,385,1216,145,94,57,32,69,0.315,0.362,0.677
Kane County,0.247,139,4579,589,1133,203,16,73,524,522,950,80,42,25,35,108,0.329,0.347,0.675
Burlington,0.243,138,4534,511,1104,222,16,76,446,393,1014,157,64,32,37,74,0.31,0.35,0.66
Beloit,0.242,140,4547,585,1099,217,29,87,523,395,1075,93,65,32,36,83,0.312,0.36,0.671
